n_policy,pack_PPO_BipedalWalker1_relative_perc_criteria_best,pack_PPO_BipedalWalker2_relative_perc_criteria_best,pack_PPO_BipedalWalker3_relative_perc_criteria_best,pack_PPO_BipedalWalker4_relative_perc_criteria_best,pack_PPO_BipedalWalker5_relative_perc_criteria_best,pack_PPO_BipedalWalker6_relative_perc_criteria_best,pack_PPO_BipedalWalker7_relative_perc_criteria_best,pack_PPO_BipedalWalker8_relative_perc_criteria_best,pack_PPO_BipedalWalker9_relative_perc_criteria_best,pack_PPO_BipedalWalker10_relative_perc_criteria_best,pack_PPO_BipedalWalker11_relative_perc_criteria_best,pack_PPO_BipedalWalker12_relative_perc_criteria_best,pack_PPO_BipedalWalker13_relative_perc_criteria_best,pack_PPO_BipedalWalker14_relative_perc_criteria_best,pack_PPO_BipedalWalker15_relative_perc_criteria_best,pack_PPO_BipedalWalker16_relative_perc_criteria_best,pack_PPO_BipedalWalker18_relative_perc_criteria_best,pack_PPO_BipedalWalker19_relative_perc_criteria_best,pack_PPO_BipedalWalker20_relative_perc_criteria_best,pack_PPO_BipedalWalker23_relative_perc_criteria_best
42,0.9022031220308088,0.5856507208341353,1.0,0.788037548629735,0.8569295545334081,0.8544268307129703,1.0,0.9869180083928928,1.0,0.9986481360591504,1.0,1.0,0.7515500481696034,0.9835535180605328,0.9964103894782272,1.0,1.0,0.9743631606379032,0.9814928557766756,0.9937241771233767
43,1.0,0.5335276660558917,0.0243125438538338,0.7491128895490624,0.3793586274985686,0.6897134147933605,1.0,1.0,1.0,1.0,0.9962719514185558,1.0,0.7553302364605952,0.8448330455292935,1.0,0.8931654786419536,1.0,0.940334006075649,0.989683648060114,0.997132977436579
44,0.6874866577203004,0.3441469504333632,0.8334392253211965,0.6915948017971298,0.4145533967830201,0.712302374037348,0.9960024578082552,0.0097371348698714,1.0,1.0,1.0,0.9770595994058728,0.776068760072911,0.9687795343423128,0.9907650902721732,0.5893121366006366,1.0,0.8420174103196096,0.9666927940360116,0.9967376166792383
45,0.7921086073583847,0.1613759438670592,1.0,0.689373928532174,0.2363125465684066,0.9588537923045306,1.0,1.0,1.0,0.9950668688651076,0.9719326231247802,0.9208232074585672,0.8951290234903614,1.0,1.0,0.8820842348754255,1.0,0.6409313652432153,0.9572016636288458,0.993780309285928
46,0.167549505289407,0.1315397594280291,1.0,0.7906725617111326,0.370101118250139,0.9758093282918996,1.0,0.97361138379811,1.0,0.954153500100845,0.9502824725655202,0.9683413766460746,1.0,0.983422302117739,0.9949941195057452,0.92694281058467,0.9916196569013026,0.9149352173800858,0.9459265467395254,1.0
47,1.0,0.2973795766251492,1.0,0.6900071859953861,1.0,0.7791681724507765,0.991981652722882,1.0,1.0,0.9843201099876028,0.9800385824590852,0.7422734341061545,0.9141891919370084,0.951735763724366,0.947608388921517,1.0,1.0,0.8911961336132772,0.9736934713453282,0.9919547855700732
48,1.0,0.2194137073796164,0.8097741507988228,0.5529325764693446,0.7873405254015536,0.6993320210941294,0.9992375576645705,1.0,1.0,1.0,0.9345365434525142,0.9674142814705154,1.0,0.9514273570464148,0.9488690513481194,1.0,0.995505488427574,0.9065804217571404,0.8983806322347357,1.0
49,0.7852901967685404,0.2230826255191442,0.9858243099574356,0.7263797033097501,0.7309540463339168,0.4992554935978635,0.999760872625748,1.0,1.0,0.9879821371280632,0.9850326451904764,0.9752306419950167,0.9873279992814644,0.8299499771509073,0.9654613598043432,1.0,0.9913753907185272,0.9385068480362851,0.8348947098534786,1.0
50,0.8009679529599049,0.2666588218361971,0.8383578568309604,0.6476248057904102,0.6731053042939804,0.3809451402141678,1.0,0.9862548396531692,1.0,0.9653026906279776,0.9868213117739172,0.9631803445692672,1.0,0.9023732287016364,0.9856241065451268,0.9584989617207234,0.9946655289982514,0.0593125563684642,0.8506240877591804,1.0
51,0.9355941206817516,0.271411827712318,0.9642581004549312,0.6311876712656114,0.8221407468134673,0.4396333947846101,1.0,0.98685018133018,1.0,1.0,0.9923965394630344,0.9587746981981976,0.9196260247162784,0.9850797900321328,0.9279079242530216,1.0,0.9899073236380388,0.2627038551959734,0.7660515533119193,0.991799844352827
52,0.9759426020885396,0.2625801921969895,0.951337016308282,0.6324535958791856,0.5896502960630762,0.5625602571744388,1.0,1.0,1.0,1.0,0.9586095343913124,0.9337748564622516,1.0,0.9907858412036352,0.8791949131372637,0.9438685484519492,1.0,0.9026458186497128,0.7085145849562967,0.9925911911012429
53,1.0,0.1878512458958842,0.7543339026342134,0.6487361797566483,0.8798094915525326,0.7616959845643966,0.9979102154492828,0.9981038426323736,0.9925567864991184,1.0,0.984476972715274,1.0,1.0,0.9851421339382532,0.8853766596170037,0.9490747535017708,1.0,0.8947271464452525,0.7671476620744536,0.9886157817348562
54,0.8444947468974081,0.377741909027761,0.9226905377549108,0.6003227138054582,0.4907759063296495,0.8711652338721092,0.9994437566622518,1.0,0.9972318534147004,1.0,0.9818907606862112,0.9859797922918804,0.9418574463224308,0.930452628731858,0.9216874081289146,0.9810087695596744,0.996733970426348,0.1335358620098457,0.62396618608089,0.9942146234470834
55,0.996152596211569,0.4903527317295187,0.912224903353919,0.5853229304966686,0.8900265417594296,0.8077509730827814,1.0,0.9905516525461716,0.9944138154332008,1.0,0.9805884258550353,0.9675519511576964,0.9227565820761788,0.9942080496547738,0.9589303621171696,0.9628842944599082,0.9779417389774192,0.9744221587041394,0.7747369718743993,0.9982486877128788
