n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker23
13,59.897271662,22.766969126,34.621236636,-8.473888675999998,-56.91788482,96.299204482,88.187363452,41.049607432,-46.841798292,-18.476181132,-23.141336086000003,59.85650642800001,56.312305184,94.622568846,76.670180284,-22.590412734,-25.022942638,-33.726537914,-6.866985025999999,-19.124738546
14,59.897271662,95.157477434,151.992993842,-8.473888675999998,-56.91788482,128.429899746,128.67710111000002,86.86412402399999,-46.113654686,-18.476181132,-23.141336086000003,97.577184584,56.312305184,113.959638826,76.670180284,3.6042623040000006,-25.022942638,-33.726537914,-6.866985025999999,103.628864818
15,59.897271662,95.157477434,151.992993842,-8.473888675999998,-52.86604656,141.816549404,128.67710111000002,100.287570398,-46.113654686,-18.476181132,-23.141336086000003,109.988541654,105.610059748,113.959638826,138.185005452,3.6042623040000006,119.055350466,-33.726537914,-6.866985025999999,119.887021916
16,128.57660366800002,96.106976436,195.25731412,-8.473888675999998,-46.05468343,141.816549404,128.67710111000002,114.699859084,-46.113654686,-18.476181132,-23.141336086000003,158.966040836,119.175391024,123.11294068,138.185005452,3.6042623040000006,119.055350466,-33.726537914,-6.866985025999999,135.903866668
17,157.43583417000002,96.106976436,195.25731412,-8.473888675999998,-46.05468343,141.816549404,143.88032988999998,119.072134256,-40.220549798,-18.476181132,-23.141336086000003,189.15846708,139.566074818,123.11294068,153.1714048,3.6042623040000006,119.055350466,14.589265026,-6.866985025999999,135.903866668
18,157.43583417000002,103.951326106,195.25731412,58.873770834,-46.05468343,141.816549404,143.88032988999998,119.072134256,-37.309082262,-18.476181132,69.01908108999999,210.817626688,140.61912845999998,134.053074332,160.08113458800003,3.6042623040000006,119.055350466,61.398095868,-6.866985025999999,135.903866668
19,157.43583417000002,103.951326106,209.785572602,137.762885804,-46.05468343,141.816549404,173.84921302800004,119.072134256,-24.115908532,-1.0657762760000002,160.81590025,210.817626688,140.61912845999998,139.686449358,160.08113458800003,148.03363755799998,119.055350466,110.13098127,-6.866985025999999,160.626025972
20,157.43583417000002,103.951326106,225.663110948,147.486649876,54.439264742,141.816549404,173.84921302800004,119.072134256,-24.115908532,67.027154454,174.16601963999997,210.817626688,140.61912845999998,139.686449358,160.08113458800003,148.03363755799998,119.055350466,110.13098127,-6.866985025999999,174.620526152
21,157.43583417000002,103.951326106,225.663110948,151.805408378,54.439264742,141.816549404,173.84921302800004,122.502434364,-24.115908532,146.875319322,183.797784316,210.817626688,140.61912845999998,150.703537374,160.08113458800003,148.03363755799998,119.055350466,120.600376188,70.12011834799999,184.047774788
22,157.43583417000002,220.50202176,225.663110948,162.88600840599997,54.439264742,141.816549404,173.84921302800004,122.502434364,118.208291248,146.875319322,187.956438812,218.226618918,140.61912845999998,150.703537374,160.08113458800003,148.03363755799998,119.055350466,128.962080182,94.699110314,189.453305774
