n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker23
36,93.84877116,-106.04171619,152.81584523399997,210.0121081,155.29256884,-55.051257656,240.35475304,-95.517522476,71.31971079799999,207.616217782,243.27328285,218.795985328,191.840790556,-39.746388928,296.685534808,-29.126715232,243.479479624,219.791214586,-116.121447746,282.951386944
37,-71.846442024,-90.860263796,-25.700078865999995,192.426060442,64.067068392,220.480004868,268.911146562,245.96656820600003,74.95863476399998,108.401460802,243.655836666,237.197808538,173.08099179,-11.271301924,297.71572166399994,101.834561642,243.39454579200003,213.0189225,-118.308478574,282.886763414
38,38.299904736,-87.549539352,78.74652732000001,74.54729524199999,-118.414453248,275.471540488,247.11070304,-82.98636248199999,109.95520983,184.282623578,258.59696873400003,253.668485138,32.14915939,84.38998831400001,301.214840008,91.91035412,241.896476874,254.482656368,-109.601197136,294.39896966799995
39,67.813344512,146.18904842,-19.792872774,90.049192824,-109.410922298,277.234591682,259.72460441000004,32.622867682000006,107.484079722,205.257788144,260.080430326,254.98660409,-112.181926098,199.244003382,293.024834208,118.036521646,242.78181042,237.52808511,-86.20678127400001,296.00295819
40,64.531629678,120.901609174,-3.346708663999998,113.489012242,-23.131343946,208.57643954,262.90871608000003,-82.84992930399999,140.13657545799998,261.743083522,253.381010468,260.479252474,119.614061558,109.09271069,295.656597786,147.60413667400002,247.935042494,265.840680982,246.90755639,295.94334186000003
41,108.27779792,1.9272236159999985,-61.503965560000005,138.812907068,38.920777208,204.156972086,269.37594559400003,284.91689386,146.290135098,265.79431737,269.496071486,266.021101034,117.874373178,247.039833612,302.28561029400004,100.029244796,250.896125258,273.31227541999993,249.96363255,298.25570503800003
42,130.480911712,102.054216826,258.14105314,172.93417699,195.16986272,220.09750829000004,278.287507238,279.87764582,177.36247235599998,265.29329965200003,281.05209304,266.618586734,115.66108432,240.986875742,300.77765155000003,226.452947542,255.888045656,263.793198768,243.147967476,295.72513292
43,180.01426172999996,82.457252208,-83.4875874,158.872677986,16.961503015999998,155.447928788,293.630316532,-116.934619988,183.64259882,267.104692086,279.588143604,287.80556635,116.82016538,189.932238098,302.521816442,189.575137942,263.942138178,251.15801679,246.164407842,297.099648294
44,86.82280487999999,11.25484093,199.821218584,138.094319158,30.094635184,164.31403546400003,292.055818696,-113.0217376,197.228284522,268.531591766,283.83039675,278.635917504,123.179009988,235.549463574,298.640143776,84.689137128,266.58684461200005,214.652611504,237.69751749400004,296.940228736
45,118.021062958,-57.4624851,266.9529866980001,137.29203063600002,-36.416971262,261.084814138,302.6463426,296.666618762,210.869901328,266.689808212,272.73077405400005,256.157322834,159.685259334,251.160990936,303.76971189600005,185.750044774,272.653166576,139.988435874,234.202198862,295.74776684200003
