n_policy,HalfCheetah1_500,HalfCheetah2_500,HalfCheetah3_500,HalfCheetah4_500,HalfCheetah5_500,HalfCheetah6_500,HalfCheetah7_500,HalfCheetah8_500,HalfCheetah9_500,HalfCheetah10_500,Walker2d1_500,Walker2d2_500,Walker2d3_500,Walker2d4_500,Walker2d5_500,Walker2d6_500,Walker2d7_500,Walker2d8_500,Walker2d9_500,Walker2d10_500,Ant1_500,Ant2_500,Ant3_500,Ant4_500,Ant5_500,Ant6_500,Ant7_500,Ant8_500,Ant9_500,Ant10_500,Humanoid1_500,Humanoid2_500,Humanoid3_500,Humanoid4_500,Humanoid5_500,Humanoid6_500,Humanoid7_500,Humanoid8_500,Humanoid9_500,Humanoid10_500,HumanoidStandup1_500,HumanoidStandup2_500,HumanoidStandup3_500,HumanoidStandup4_500,HumanoidStandup5_500,HumanoidStandup6_500,HumanoidStandup7_500,HumanoidStandup8_500,HumanoidStandup9_500,HumanoidStandup10_500,Walker2d1_100,Walker2d2_100,Walker2d3_100,Walker2d4_100,Walker2d5_100,Walker2d6_100,Walker2d7_100,Walker2d8_100,Walker2d9_100,Walker2d10_100,Ant1_50,Ant2_50,Ant3_50,Ant4_50,Ant5_50,Ant6_50,Ant7_50,Ant8_50,Ant9_50,Ant10_50,Humanoid1_25,Humanoid2_25,Humanoid3_25,Humanoid4_25,Humanoid5_25,Humanoid6_25,Humanoid7_25,Humanoid8_25,Humanoid9_25,Humanoid10_25
39,885.944837936,133.874560512,156.483001456,496.257796496,1035.530504906,805.842161682,407.32381998599993,276.615645286,771.20202562,646.753167684,372.92557295,708.324495258,615.07994777,2064.50399805,2195.465142996,491.382857968,556.29275245,997.41761391,456.877472622,477.277058188,72.57663142,53.676997812,66.29968403400001,96.890226944,109.28998436,70.902936296,102.356722202,162.155635594,100.812882972,150.44025761199998,327.037924604,342.78257334999995,376.589359158,429.890658298,361.709821076,381.694465694,348.403252148,341.133762742,349.812714244,344.728682974,60438.809436588,74118.71386336401,75882.936425094,75283.562848252,67328.562114878,78054.18370111998,66534.60945553801,75688.883170542,64532.353343366,81328.60116143001,372.92557295,708.324495258,615.07994777,2064.50399805,2195.465142996,491.382857968,556.29275245,997.41761391,456.877472622,477.277058188,72.57663142,53.676997812,64.78716014199999,85.464055734,115.65545857,62.123041064000006,100.044813376,132.565366284,100.812882972,135.097122672,338.88965590000004,352.581950554,360.079080462,429.890658298,395.872724938,405.067346816,345.323313904,336.871008976,360.380890372,400.141981104
40,1012.90189532,149.09430616400002,239.334599322,521.1294786000001,1071.317067476,864.2385355700001,443.74296236,291.97245228,879.72402038,669.0965849319999,468.362307396,793.757968168,689.167555922,2059.507734736,2170.074500438,556.206052362,587.799697442,1018.048504374,499.26111517,461.378795922,72.57663142,53.676997812,65.80616761,96.890226944,104.26606481000002,70.902936296,102.356722202,162.155635594,100.812882972,135.05382751599998,321.525778288,342.78257334999995,351.99663597800003,429.890658298,361.709821076,381.694465694,344.384954346,341.133762742,373.71397746800005,379.061024462,62047.857700088,74431.630721572,75882.936425094,74505.412017528,65322.779658248,79182.616153822,66931.25572921001,75033.87483841601,64532.353343366,77515.10418017399,468.362307396,708.324495258,689.167555922,2059.507734736,2170.074500438,556.206052362,587.799697442,1018.048504374,499.26111517,461.378795922,72.57663142,53.676997812,65.80616761,85.464055734,115.65545857,62.123041064000006,100.044813376,132.565366284,100.812882972,135.097122672,338.88965590000004,352.581950554,360.079080462,429.890658298,395.872724938,405.067346816,345.323313904,336.871008976,360.380890372,400.141981104
41,1060.8422020919998,166.43813976,274.256792578,548.622182972,1053.770850706,940.7754933139998,520.53990026,318.614012906,856.785444714,665.4076573000001,529.108489148,779.3214037860001,745.9794848780001,2120.7726433800003,2212.546649922,855.287045004,476.587240498,1224.154170486,597.990599766,526.995307646,72.57663142,59.161424254,82.1250646,96.890226944,102.572102442,72.63171161599999,102.356722202,126.175069374,120.175488338,172.54189141799998,327.124887612,471.92443717,351.99663597800003,388.242582748,361.709821076,381.694465694,344.384954346,383.675791874,373.71397746800005,379.061024462,67189.42132166,74968.652098262,72587.05573967998,78275.607093724,67404.77356657399,82874.012327064,68220.039474932,73500.29857176199,64373.533846656,85924.115601754,529.108489148,779.3214037860001,745.9794848780001,2120.7726433800003,2212.546649922,855.287045004,476.587240498,1224.154170486,597.990599766,526.995307646,72.57663142,53.676997812,65.80616761,85.464055734,102.572102442,62.123041064000006,100.044813376,126.175069374,120.175488338,135.097122672,338.88965590000004,352.581950554,360.079080462,429.890658298,395.872724938,405.067346816,345.323313904,336.871008976,371.394463256,400.141981104
42,1085.9332793800002,205.604841748,378.523673446,656.444259226,1084.874079498,974.939300754,477.71581189,459.433314312,904.923363744,683.399579552,647.340675884,950.904661354,780.363643224,2127.66035004,2210.5686971,1977.07902889,591.120128134,1270.705591154,603.7835752979998,621.3848539180001,72.57663142,61.970678816,82.1250646,113.408559924,132.788774872,69.69139503,102.356722202,120.117202706,111.272446126,131.50219048,327.124887612,471.92443717,331.071193826,388.242582748,361.709821076,400.491087006,344.384954346,401.698309334,411.10332455,348.181540696,68677.08673596001,76354.277242394,76935.014960244,81758.50381993601,68532.44280928999,84998.702980672,69844.24538110399,73644.043968024,63689.666127326,76078.452221694,647.340675884,950.904661354,745.9794848780001,2127.66035004,2210.5686971,1977.07902889,591.120128134,1270.705591154,597.990599766,621.3848539180001,72.57663142,61.970678816,65.80616761,85.464055734,102.572102442,69.69139503,100.044813376,126.175069374,120.175488338,135.097122672,338.88965590000004,352.581950554,360.079080462,429.890658298,395.872724938,405.067346816,345.323313904,336.871008976,371.394463256,400.141981104
43,1101.503676984,207.371131926,476.534515302,733.499924048,1113.454322216,947.170752288,485.077794562,575.840498468,929.40909866,718.96972162,663.108713708,1534.696016536,841.0994415099999,2194.29768656,2208.226782392,2476.6310308100005,436.886571084,1296.3814633220002,688.2568723019999,661.392610246,72.57663142,61.970678816,76.21323036,113.408559924,132.788774872,69.69139503,83.184434884,120.117202706,100.903452338,138.76939973,327.124887612,471.92443717,314.89651541600006,388.242582748,427.775062174,500.954942882,344.384954346,411.418185286,411.10332455,370.491724068,72088.053306778,76044.414661774,74563.30890388,79119.00164789798,66833.60688479201,83489.143451694,68320.445502898,73644.043968024,64940.593454296,68615.45638430199,663.108713708,1534.696016536,841.0994415099999,2194.29768656,2208.226782392,2476.6310308100005,591.120128134,1296.3814633220002,688.2568723019999,661.392610246,72.57663142,69.12271974400001,76.21323036,85.464055734,129.073701402,84.67220923800001,100.044813376,111.611236228,120.175488338,138.76939973,338.88965590000004,352.581950554,314.89651541600006,364.708121702,427.775062174,500.954942882,345.323313904,336.871008976,371.394463256,400.141981104
44,1089.4067146,280.74389307800004,540.218447848,746.2608863900001,1152.900822362,974.421103122,534.2746530240001,741.6375355380001,955.613568178,725.725753618,813.1707840179998,2194.581514954,905.592369924,2208.736685414,2237.568941312,2515.2600450180003,523.768829228,1478.944835356,785.278170076,717.65946077,72.57663142,73.176530982,71.49743759799999,113.408559924,99.952669276,69.69139503,83.184434884,102.674740476,100.903452338,141.389527722,349.146678212,471.92443717,308.496919028,388.242582748,479.954344702,500.954942882,348.778806262,418.97276006,386.739375154,370.491724068,72060.91259118999,77830.066819294,68518.40675318199,81674.391490566,68234.11581847598,82965.894411062,68956.684517556,85019.675024722,66549.61681678801,71689.27763345801,813.1707840179998,2194.581514954,905.592369924,2208.736685414,2237.568941312,2476.6310308100005,523.768829228,1478.944835356,785.278170076,717.65946077,72.57663142,69.12271974400001,71.49743759799999,100.738251472,129.073701402,84.67220923800001,100.044813376,111.611236228,120.175488338,141.389527722,338.88965590000004,352.581950554,314.89651541600006,364.708121702,479.954344702,500.954942882,345.323313904,336.871008976,371.394463256,400.141981104
45,1100.236086896,376.822679558,583.2424312640001,814.329142578,1162.892020008,1009.397401922,602.6249118939999,715.157141864,1018.3820129860002,750.685572752,1013.468926082,2276.107760252,916.53877721,2613.871685046,2216.735179624,2350.9897922160003,640.166413256,1311.273348468,804.780678936,773.2931415859999,108.590620668,80.27624830200001,71.49743759799999,85.085369358,99.952669276,75.01595037999999,84.70751966799999,102.674740476,100.903452338,150.29474834200002,349.146678212,471.92443717,313.768623212,388.242582748,479.954344702,516.5482647499999,348.778806262,418.97276006,386.739375154,371.577155606,74184.080502532,77873.60925745401,68518.40675318199,82898.78939916601,66312.70238277601,82965.894411062,65508.270815102,91635.508544632,67450.048093754,68582.69680340799,1013.468926082,2276.107760252,905.592369924,2613.871685046,2216.735179624,2350.9897922160003,640.166413256,1311.273348468,804.780678936,717.65946077,72.57663142,69.12271974400001,71.49743759799999,100.738251472,129.073701402,84.67220923800001,100.044813376,111.611236228,114.506661412,150.29474834200002,338.88965590000004,352.581950554,313.768623212,364.708121702,479.954344702,500.954942882,345.323313904,441.8399245,371.394463256,400.141981104
46,1132.5979361339998,499.689969738,664.191533838,833.32074222,1171.40266667,1042.8727649680002,654.2764717680001,807.57227975,1040.512781706,760.3302111639999,877.6022039600001,2436.94614173,1693.9356609760002,2767.499436774,2281.207742128,2013.653559358,779.7019809540001,1247.42641628,888.967643556,986.321508726,108.590620668,80.27624830200001,71.49743759799999,84.48325008599998,99.952669276,79.23995362800001,84.949927188,102.674740476,100.903452338,150.29474834200002,349.146678212,471.92443717,313.768623212,388.242582748,479.954344702,516.5482647499999,348.778806262,415.390477646,386.739375154,371.577155606,74017.32550195199,79794.960226392,66297.79320309,79904.96617805002,68655.25959694,83502.784245244,63346.223535866,93421.56193042,67450.048093754,71205.178952366,877.6022039600001,2436.94614173,1693.9356609760002,2767.499436774,2281.207742128,2350.9897922160003,779.7019809540001,1247.42641628,888.967643556,986.321508726,72.57663142,69.12271974400001,71.49743759799999,84.48325008599998,129.073701402,79.23995362800001,100.044813376,111.611236228,124.611547882,150.29474834200002,338.88965590000004,352.581950554,313.768623212,364.708121702,479.954344702,500.954942882,345.323313904,441.8399245,371.394463256,383.27821374
47,1151.0502367400002,530.334175972,726.107507884,841.231410196,1166.9943597840002,1069.008367434,674.902217178,850.1894413699999,1111.1275161919998,765.3031133860001,1286.0412047000002,2405.930051392,1679.988043258,2637.10486396,2400.5997476340003,1929.956811302,1071.5684311039995,1615.871982268,877.54253464,912.78800974,104.61369657600002,70.91876707600001,71.49743759799999,96.167356928,99.952669276,75.081724516,84.949927188,102.674740476,130.474571672,154.323721738,349.146678212,471.92443717,341.804243152,388.242582748,479.954344702,516.5482647499999,348.778806262,415.390477646,386.739375154,364.120884476,75386.927312004,76645.111412674,65060.73176702,80197.77852770801,67464.74732123801,80866.218945424,64980.177155402,97213.928155036,68866.80486757199,77874.99531779999,1286.0412047000002,2436.94614173,1679.988043258,2637.10486396,2281.207742128,1929.956811302,779.7019809540001,1615.871982268,877.54253464,912.78800974,104.61369657600002,69.12271974400001,71.49743759799999,84.48325008599998,129.073701402,79.23995362800001,100.044813376,103.575972334,124.611547882,150.29474834200002,338.88965590000004,352.581950554,313.768623212,429.007394822,479.954344702,500.954942882,345.323313904,441.8399245,371.394463256,364.120884476
48,1151.691928324,594.551398514,778.0250300240001,911.108049734,1192.487335928,1147.1120921300003,718.261399676,907.832622932,1173.504971438,787.0828383139999,1230.931070228,2269.386804154,1539.435059282,2770.06152491,2486.995622306,2464.802098064,664.025767778,1745.469300868,936.1012057,1157.54089773,122.85456308,73.09865669199999,51.828014254,96.167356928,150.95763863199997,75.081724516,84.949927188,102.674740476,130.474571672,161.389068316,394.985339156,471.92443717,341.804243152,419.984009816,479.954344702,516.5482647499999,348.778806262,415.390477646,386.739375154,364.120884476,76886.861733568,74986.338960718,67008.52926511,79616.15086252199,72947.530732584,80602.450047082,66058.42749089,100936.110238066,68866.80486757199,84605.138142382,1230.931070228,2436.94614173,1539.435059282,2637.10486396,2281.207742128,2464.802098064,664.025767778,1745.469300868,877.54253464,1157.54089773,104.61369657600002,73.09865669199999,71.49743759799999,74.733746416,129.073701402,79.23995362800001,99.021037754,103.575972334,124.611547882,150.29474834200002,338.88965590000004,352.581950554,313.768623212,429.007394822,479.954344702,500.954942882,345.323313904,441.8399245,371.394463256,364.120884476
49,1172.9479828039998,670.60265574,810.22710148,952.501211514,1224.322655982,1141.8537566299997,772.878384776,1017.083053306,1189.209678546,783.429272748,1120.447274356,2388.604954626,1808.376443782,2839.090163578,2480.6010724799994,2518.808754254,817.1963501540001,2078.119779142,1900.881848546,2065.853414204,122.85456308,73.09865669199999,51.828014254,96.167356928,150.95763863199997,82.06187768199999,84.949927188,109.307242852,124.876264486,159.17446162000002,376.457223864,440.644794262,341.804243152,420.826922712,529.116599078,554.783541092,348.778806262,415.390477646,386.739375154,364.120884476,73452.91708961,72976.93882639598,70533.133675276,80192.18712454799,73985.23238243401,81157.343255558,67093.022526962,95308.58450931,73436.992495224,83878.03388661599,1120.447274356,2436.94614173,1539.435059282,2637.10486396,2281.207742128,2518.808754254,664.025767778,2078.119779142,1900.881848546,2065.853414204,104.61369657600002,73.09865669199999,71.49743759799999,74.733746416,129.073701402,79.23995362800001,99.021037754,103.575972334,124.611547882,150.29474834200002,338.88965590000004,352.581950554,343.80431347,429.007394822,479.954344702,500.954942882,345.323313904,441.8399245,371.394463256,364.120884476
50,1223.917297594,723.226012838,862.1697708720001,989.263946542,1246.0438987659998,1146.407694112,818.6903114539999,1072.510499634,1216.7471915699998,805.436125386,1253.766368164,2465.002811436,1610.70398972,2806.918136252,2555.498911152,2478.978885648,798.159971122,2141.635815204,1723.241663602,2121.8218357640003,122.85456308,73.09865669199999,51.828014254,96.167356928,143.685754636,77.13735931400001,84.949927188,109.307242852,124.876264486,186.740770838,376.457223864,473.767026236,341.804243152,423.65974681000006,529.116599078,554.783541092,348.778806262,415.390477646,386.739375154,364.120884476,73641.88429088,77373.560105054,69528.81854391599,79782.035886332,74496.001803118,83233.528506278,67093.022526962,101510.483505548,73064.18046690601,86299.400295532,1253.766368164,2465.002811436,1610.70398972,2806.918136252,2281.207742128,2518.808754254,798.159971122,2141.635815204,1723.241663602,2121.8218357640003,104.61369657600002,73.09865669199999,71.49743759799999,74.733746416,129.073701402,79.23995362800001,99.021037754,103.575972334,124.611547882,186.740770838,369.25446992799993,352.581950554,340.21939292400003,429.007394822,479.954344702,500.954942882,345.323313904,441.8399245,420.1101154,364.120884476
51,1230.001462258,811.1518189159999,912.04414237,1056.7838613160002,1226.12096313,1186.249292008,853.203194214,1203.9070133000002,1237.4601564639995,828.61862588,1486.5245023420002,2516.483389034,1674.896046722,2729.036492876,2555.498911152,2595.644723068,1275.7438565460002,2471.45734177,1388.842161364,2300.579952212,138.35408248,73.09865669199999,51.035449526,106.174562938,165.49083331799997,77.13735931400001,104.05373344400002,106.83511808,145.963484306,189.465339748,376.457223864,473.767026236,341.804243152,411.805666636,478.41698185,554.783541092,348.778806262,415.390477646,443.08740226800006,364.120884476,73799.06365098001,77490.356319774,71091.486715024,77905.454156842,74496.001803118,82486.731148624,67093.022526962,103509.952247398,73260.24562254199,86311.698520504,1486.5245023420002,2465.002811436,1610.70398972,2729.036492876,2281.207742128,2518.808754254,798.159971122,2141.635815204,1723.241663602,2300.579952212,138.35408248,73.09865669199999,51.035449526,74.733746416,165.49083331799997,79.23995362800001,99.021037754,106.83511808,145.963484306,189.465339748,369.25446992799993,352.581950554,340.21939292400003,411.805666636,478.41698185,554.558284378,345.323313904,441.8399245,443.08740226800006,364.120884476
