n_policy,pack_PPO_Ant1_500_relative_perc_criteria_best,pack_PPO_Ant1_250_relative_perc_criteria_best,pack_PPO_Ant1_100_relative_perc_criteria_best,pack_PPO_Ant1_50_relative_perc_criteria_best,pack_PPO_Ant1_25_relative_perc_criteria_best,pack_PPO_Ant1_5_relative_perc_criteria_best,pack_PPO_Ant2_500_relative_perc_criteria_best,pack_PPO_Ant2_250_relative_perc_criteria_best,pack_PPO_Ant2_100_relative_perc_criteria_best,pack_PPO_Ant2_50_relative_perc_criteria_best,pack_PPO_Ant2_25_relative_perc_criteria_best,pack_PPO_Ant2_5_relative_perc_criteria_best,pack_PPO_Ant3_500_relative_perc_criteria_best,pack_PPO_Ant3_250_relative_perc_criteria_best,pack_PPO_Ant3_100_relative_perc_criteria_best,pack_PPO_Ant3_50_relative_perc_criteria_best,pack_PPO_Ant3_25_relative_perc_criteria_best,pack_PPO_Ant3_5_relative_perc_criteria_best,pack_PPO_Ant4_500_relative_perc_criteria_best,pack_PPO_Ant4_250_relative_perc_criteria_best,pack_PPO_Ant4_100_relative_perc_criteria_best,pack_PPO_Ant4_50_relative_perc_criteria_best,pack_PPO_Ant4_25_relative_perc_criteria_best,pack_PPO_Ant4_5_relative_perc_criteria_best,pack_PPO_Ant7_500_relative_perc_criteria_best,pack_PPO_Ant7_250_relative_perc_criteria_best,pack_PPO_Ant7_100_relative_perc_criteria_best,pack_PPO_Ant7_50_relative_perc_criteria_best,pack_PPO_Ant7_25_relative_perc_criteria_best,pack_PPO_Ant7_5_relative_perc_criteria_best,pack_PPO_Ant8_500_relative_perc_criteria_best,pack_PPO_Ant8_250_relative_perc_criteria_best,pack_PPO_Ant8_100_relative_perc_criteria_best,pack_PPO_Ant8_50_relative_perc_criteria_best,pack_PPO_Ant8_25_relative_perc_criteria_best,pack_PPO_Ant8_5_relative_perc_criteria_best,pack_PPO_Ant9_500_relative_perc_criteria_best,pack_PPO_Ant9_250_relative_perc_criteria_best,pack_PPO_Ant9_100_relative_perc_criteria_best,pack_PPO_Ant9_50_relative_perc_criteria_best,pack_PPO_Ant9_25_relative_perc_criteria_best,pack_PPO_Ant9_5_relative_perc_criteria_best,pack_PPO_Ant17_500_relative_perc_criteria_best,pack_PPO_Ant17_250_relative_perc_criteria_best,pack_PPO_Ant17_100_relative_perc_criteria_best,pack_PPO_Ant17_50_relative_perc_criteria_best,pack_PPO_Ant17_25_relative_perc_criteria_best,pack_PPO_Ant17_5_relative_perc_criteria_best,pack_PPO_Ant18_500_relative_perc_criteria_best,pack_PPO_Ant18_250_relative_perc_criteria_best,pack_PPO_Ant18_100_relative_perc_criteria_best,pack_PPO_Ant18_50_relative_perc_criteria_best,pack_PPO_Ant18_25_relative_perc_criteria_best,pack_PPO_Ant18_5_relative_perc_criteria_best
10,0.9727739894423216,0.9727739894423216,0.9727739894423216,0.9727739894423216,0.6408320023218969,0.7717179021669088,0.952278541252408,0.952278541252408,0.952278541252408,0.7747958618734772,0.7747958618734772,0.6785522515806436,1.0,1.0,1.0,0.1860486286756124,0.1860486286756124,0.9837100709422372,0.2577182567678046,0.2577182567678046,0.2577182567678046,0.2577182567678046,0.5867939025862265,0.5867939025862265,0.620652074485934,0.620652074485934,0.620652074485934,0.620652074485934,0.4876848221615538,0.2487053725152353,0.7450901837038292,0.7450901837038292,0.7450901837038292,0.7450901837038292,0.7450901837038292,1.0,0.76577032748898,0.76577032748898,0.76577032748898,0.76577032748898,0.3721787983412326,0.3721787983412326,0.7349951017809366,0.7349951017809366,0.634324311598451,0.0709303256073213,0.1545719256668057,0.0709303256073213,0.8680340532410893,0.8680340532410893,0.8680340532410893,0.8680340532410893,1.0,0.8680340532410893
11,0.9727739894423216,0.9727739894423216,0.9727739894423216,0.2456928012106168,0.6408320023218969,0.7717179021669088,0.9622269276470063,0.9622269276470063,0.9622269276470063,1.0,0.8217436677985894,0.7455637489421076,1.0,1.0,0.350224242027672,0.4711141307450802,0.4711141307450802,0.9894151989991768,0.2577182567678046,0.2577182567678046,0.2577182567678046,0.2577182567678046,0.5867939025862265,0.5867939025862265,0.6451881822794956,0.6451881822794956,0.6451881822794956,0.6451881822794956,0.5208212111656257,0.2972988792273378,0.7450901837038292,0.7450901837038292,0.7450901837038292,0.7450901837038292,0.7450901837038292,1.0,0.481192999203524,0.481192999203524,0.481192999203524,0.481192999203524,0.2338688583051143,0.2338688583051143,0.7349951017809366,0.7349951017809366,0.634324311598451,0.0709303256073213,0.1545719256668057,0.0709303256073213,0.8680340532410893,0.8680340532410893,0.8680340532410893,0.8680340532410893,1.0,0.8680340532410893
12,0.9773009242804852,0.9773009242804852,1.0,1.0,1.0,1.0,0.9701838316915634,0.9701838316915634,0.9701838316915634,0.2106501681991548,0.859293394159381,0.7991607880234151,1.0,1.0,0.350224242027672,0.4711141307450802,0.4711141307450802,0.9894151989991768,0.2577182567678046,0.0922974523686273,0.2577182567678046,0.2577182567678046,0.5867939025862265,0.5867939025862265,0.6728013513532392,0.6728013513532392,0.6728013513532392,0.6728013513532392,0.5581132185109342,0.3519864738538775,0.7450901837038292,0.7450901837038292,0.7450901837038292,0.7450901837038292,0.7450901837038292,1.0,0.3610983545738279,0.3610983545738279,0.3610983545738279,0.3610983545738279,0.1755005996758442,0.1755005996758442,0.7413234776922122,0.7413234776922122,0.6430567283702594,0.0931167160734443,0.1747609361201282,0.0931167160734443,0.8680340532410893,0.8680340532410893,0.8680340532410893,0.8680340532410893,1.0,0.8680340532410893
13,0.9773009242804852,0.9773009242804852,0.2635832585225307,1.0,1.0,1.0,0.9740501863643156,0.9740501863643156,0.9740501863643156,0.3130075998801342,0.8775392545043889,0.8252042292082378,1.0,1.0,0.350224242027672,0.4711141307450802,0.1526074168125981,0.9894151989991768,0.384118267296434,0.2468662702380695,0.384118267296434,0.384118267296434,0.6571570167808011,0.6571570167808011,0.6728013513532392,0.6728013513532392,0.6728013513532392,0.4339022934434576,0.4339022934434576,0.3519864738538775,0.8040626316179733,0.8040626316179733,0.8040626316179733,0.8040626316179733,0.8040626316179733,0.2313463199299713,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.4145007695974187,0.4145007695974187,0.8137556846332918,0.8137556846332918,0.743004681459518,0.3470537842957215,0.4058367450784972,0.3470537842957215,0.8680340532410893,0.8680340532410893,0.8680340532410893,0.8680340532410893,1.0,0.0236806258669674
14,0.9773009242804852,0.9773009242804852,0.4012249755442963,1.0,1.0,1.0,0.9788502080083346,0.9788502080083346,0.9788502080083346,0.4400828242400216,0.9001912179124537,0.8575367728967082,1.0,1.0,0.4104552098212537,0.5201392095768611,0.2311564774081367,0.9903963571916146,0.4529795379073684,0.3310735828071542,0.4529795379073684,0.4529795379073684,0.6954900313693024,0.6954900313693024,0.7239584101009214,0.7239584101009214,0.7239584101009214,0.5224108913579494,0.5224108913579494,0.4533024975093991,0.827467364084387,0.827467364084387,0.827467364084387,0.827467364084387,0.827467364084387,0.3231620562028366,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.4145007695974187,0.4145007695974187,0.8137556846332918,0.8137556846332918,0.743004681459518,0.3470537842957215,0.4058367450784972,0.3470537842957215,0.8680340532410893,0.8680340532410893,0.8680340532410893,0.8680340532410893,1.0,0.0236806258669674
15,0.9773009242804852,0.9773009242804852,0.4039012486792632,1.0,1.0,1.0,0.9840815768127504,0.9840815768127504,0.9840815768127504,0.5785774840211519,0.9248787679945202,0.8927748349229572,1.0,1.0,0.7403716923365398,0.7886751829426966,0.6614107257770572,0.9957706732867752,0.4529795379073684,0.3310735828071542,0.4529795379073684,0.4529795379073684,0.6954900313693024,0.6954900313693024,0.7604011415781304,0.7604011415781304,0.7604011415781304,0.5854617223904943,0.5854617223904943,0.5254769487933876,0.8673264358960152,0.8673264358960152,0.8673264358960152,0.8673264358960152,0.8673264358960152,0.479527442168661,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.4145007695974187,0.4145007695974187,0.8593649665866933,0.8593649665866933,0.8059401429845484,0.5069534730128049,0.551341102442146,0.5069534730128049,0.8680340532410893,0.8680340532410893,0.8680340532410893,0.8680340532410893,0.1081591323973962,0.0236806258669674
16,0.9773009242804852,0.9773009242804852,0.4039012486792632,1.0,1.0,1.0,0.9840815768127504,0.9840815768127504,0.9840815768127504,0.5785774840211519,0.9248787679945202,0.8927748349229572,1.0,1.0,0.7952938258898227,0.8333791288644523,0.7330363720940469,0.9966653509460592,0.6047063382382089,0.5166133787942676,0.6047063382382089,0.6047063382382089,0.7799518137173209,1.0,0.7769004583321923,0.7769004583321923,0.7769004583321923,0.6140077613575071,0.6140077613575071,0.5581536743025572,0.8673264358960152,0.8673264358960152,0.8673264358960152,0.8673264358960152,0.8673264358960152,0.479527442168661,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.4145007695974187,0.4145007695974187,0.8593649665866933,0.8593649665866933,0.8059401429845484,0.5069534730128049,0.551341102442146,0.5069534730128049,0.8723857412370407,0.8723857412370407,0.8723857412370407,0.8723857412370407,0.1375683344920504,0.0558755777085316
17,0.9775003171199126,0.9775003171199126,0.4091374893118613,0.0087841831927957,0.0087841831927957,0.0087841831927957,0.9840815768127504,0.9840815768127504,0.9840815768127504,0.5785774840211519,0.9248787679945202,0.8927748349229572,1.0,1.0,0.8263880548260291,0.8586883191473519,0.7735873139492745,0.9971718737295358,0.7047309726702199,0.6389289501088541,0.7047309726702199,0.7047309726702199,0.8356325430572608,0.2530388015487259,0.8443199392334482,0.8443199392334482,0.8443199392334482,0.7306525386916489,0.7306525386916489,0.6916772561707992,0.8809432672620322,0.8809432672620322,0.8809432672620322,0.8809432672620322,0.8809432672620322,0.5329456728349765,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.4145007695974187,0.4145007695974187,0.8668282056853095,0.8668282056853095,0.8162385378951051,0.5331185332281607,0.5751505938962076,0.5331185332281607,0.931756744409958,0.931756744409958,0.931756744409958,0.931756744409958,0.5388043221131984,0.4951181405291465
18,0.978615192391846,1.0,0.4384151465032712,0.0578996311391994,0.0578996311391994,0.0578996311391994,0.9840815768127504,0.9840815768127504,0.9840815768127504,0.5785774840211519,0.9248787679945202,0.8927748349229572,1.0,1.0,0.8263880548260291,0.8586883191473519,0.7735873139492745,0.9971718737295358,0.7047309726702199,0.6389289501088541,0.7047309726702199,0.7047309726702199,0.8356325430572608,0.2530388015487259,0.8443199392334482,0.8443199392334482,0.8443199392334482,0.7306525386916489,0.7306525386916489,0.6916772561707992,0.8870937447240167,0.8870937447240167,0.8870937447240167,0.8870937447240167,0.8870937447240167,0.5570737254590404,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.5462987340525697,0.4145007695974187,0.4145007695974187,0.8978736741511351,0.8978736741511351,0.859077644376846,0.6419595526687512,0.6741929542383107,0.6419595526687512,0.937167593392108,0.937167593392108,0.937167593392108,1.0,0.5753714545380766,0.5351490486651088
19,0.9792316937099028,1.0,0.4546050420929576,0.0850593853809514,0.0850593853809514,1.0,0.9840815768127504,0.9840815768127504,0.9840815768127504,0.5785774840211519,0.9248787679945202,0.8927748349229572,1.0,1.0,0.8548655253100016,0.8818675952996312,0.8107256604941824,0.9976357697034642,0.7047309726702199,0.6389289501088541,0.7047309726702199,0.7047309726702199,0.8356325430572608,0.2530388015487259,0.8443199392334482,0.8443199392334482,0.8443199392334482,0.7306525386916489,0.7306525386916489,0.3066837929011547,0.8870937447240167,0.8870937447240167,0.8870937447240167,0.8870937447240167,0.8870937447240167,0.5570737254590404,0.5624453647074619,0.5624453647074619,0.5624453647074619,0.5624453647074619,0.4353379162654853,0.4353379162654853,0.8978736741511351,0.8978736741511351,0.859077644376846,0.6419595526687512,0.6741929542383107,0.6419595526687512,0.9506826376362204,0.9506826376362204,0.9506826376362204,0.2150967147964484,0.6667076596757306,0.6351369611672476
