n_policy,pack_PPO_Ant1,pack_PPO_Ant2,pack_PPO_Ant3,pack_PPO_Ant4,pack_PPO_Ant5,pack_PPO_Ant6,pack_PPO_Ant7,pack_PPO_Ant8,pack_PPO_Ant9,pack_PPO_Ant10,pack_PPO_Ant11,pack_PPO_Ant12,pack_PPO_Ant13,pack_PPO_Ant14,pack_PPO_Ant15,pack_PPO_Ant16,pack_PPO_Ant17,pack_PPO_Ant18,pack_PPO_Ant19,pack_PPO_Ant20,pack_PPO_Ant21,pack_PPO_Ant22,pack_PPO_Ant23,pack_PPO_Ant24,pack_PPO_Ant25,pack_PPO_Ant26,pack_PPO_Ant27,pack_PPO_Ant28,pack_PPO_Ant29,pack_PPO_Ant30
10,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1030.39436738423,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.0559287853922,1118.384330954348,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
11,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1094.6248670173018,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.1013120573108,1118.384330954348,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
12,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1152.1076344500295,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.1013120573108,1118.384330954348,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
13,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1152.1076344500295,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.1013120573108,1118.384330954348,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
14,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1152.1076344500295,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.1013120573108,1118.384330954348,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
15,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1152.1076344500295,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.1013120573108,1118.384330954348,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
16,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1152.1076344500295,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.1013120573108,1118.384330954348,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
17,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1152.1076344500295,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.1013120573108,1118.384330954348,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
18,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1152.1076344500295,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.1013120573108,1118.384330954348,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
19,1002.579223586855,1000.881166907819,1002.3326950681612,1008.6765320392084,1001.6828265994797,1004.3265968038788,1052.7496558051414,1026.5254156310934,1152.1076344500295,998.0749704051389,999.9532283683176,997.717493532826,1002.2621371147162,1027.3833405299197,1046.893241059148,1004.0341327395298,1073.448052268804,1019.497877879516,1000.3224185127756,1004.1013120573108,1118.384330954348,1004.7071246690996,1005.0889325707858,999.1380435378964,998.9280233853044,997.4101763068444,999.9309004530774,1000.6362715391144,1052.8038148592937,1018.219855113935
