n_policy,pack_PPO_Ant1,pack_PPO_Ant2,pack_PPO_Ant3,pack_PPO_Ant4,pack_PPO_Ant5,pack_PPO_Ant6,pack_PPO_Ant7,pack_PPO_Ant8,pack_PPO_Ant9,pack_PPO_Ant10,pack_PPO_Ant11,pack_PPO_Ant12,pack_PPO_Ant13,pack_PPO_Ant14,pack_PPO_Ant15,pack_PPO_Ant16,pack_PPO_Ant17,pack_PPO_Ant18,pack_PPO_Ant19,pack_PPO_Ant20,pack_PPO_Ant21,pack_PPO_Ant22,pack_PPO_Ant23,pack_PPO_Ant24,pack_PPO_Ant25,pack_PPO_Ant26,pack_PPO_Ant27,pack_PPO_Ant28,pack_PPO_Ant29,pack_PPO_Ant30
26,542.7778132758266,506.762384807997,204.8605022889305,608.2705078697812,177.13698950011909,743.53172494125,233.0420047330337,444.0507820259563,188.2024405769316,317.8557331222672,471.4756407654826,210.3906118771457,689.4014271640048,692.943642760277,221.2378087811176,781.1427800580219,227.21366684930047,280.1054667629234,316.98480202763164,159.07662033246743,348.4218216412162,179.9128986340271,139.01942778527965,167.35876471654726,368.455978836526,439.5263910458313,449.67685595362025,190.4294658549368,207.75328956425088,446.0227898622703
27,507.791196274694,646.1914059606478,210.37603728047137,640.7099891387331,197.1570050452069,737.1312136008603,196.75087872015405,361.3023663298592,205.02677191132844,272.3337159183328,372.9173548245636,229.58349771134405,693.8236182218911,534.2316969421719,179.42277615487427,620.8952291659475,204.42182292165063,284.6787453916828,516.3625987501001,140.6004515098792,302.8700744253775,213.8904879465213,167.1810865831946,217.13533222179024,269.7163688256753,410.1487355201537,337.47137607304325,229.17822464122293,220.06722144583009,311.5053391721649
28,508.87664821347175,443.6421185756935,180.04934005472913,540.7255716352435,167.72845441425667,715.0274165381979,156.87337772298085,299.49865087846706,244.8029294004902,238.0363016246466,337.1057557937939,204.017875509446,688.8165575942986,584.8817339178532,144.0346012762054,456.689702821164,207.0678784473978,336.5534809980325,244.320940061362,135.48178478674413,292.2640745434074,189.04778875238023,183.0472175189472,244.3421083521488,337.8833611731152,313.09038389465235,311.6532974473411,186.7651075762173,198.6735571999492,343.55627384606737
29,504.4941333609768,395.7284571580482,149.6073601565397,459.20732540508686,185.28166889488216,615.5250271909777,180.82393648700025,274.93440330812416,197.3949935223623,211.9228788725461,408.4549887846167,244.636423537956,730.3421880253551,559.033736088263,111.03596757160176,538.7309655461846,226.7388651955164,383.2105003923907,263.35998125282754,122.1370605380924,244.6989762305704,188.014203237952,177.21069757724644,228.59325802705123,271.0106522336334,234.9499246510945,260.6041162972324,196.3814413923543,210.0372675384413,279.0824775968312
30,443.6708480186927,569.2344285876211,164.7108410547398,460.9043056694089,216.80486182967644,650.6972054709197,150.92226201839438,209.89509241163867,170.86354324595845,227.6703226463597,397.41190800161786,158.1218023493642,756.756598636547,570.3588651385854,118.37217891970052,428.8286648666655,208.2049960980284,319.1834316837558,207.2553241822868,107.91778764485,280.0558349942478,170.15891897546223,144.58531226037354,178.79208905969443,283.884551014474,234.5600449951476,277.741056657358,212.0139429996084,221.68411806844773,273.6179892079906
31,399.04373494308606,455.1429517396069,122.82977147271276,460.2655612141402,197.7066415829869,593.1017855859405,183.68535750402785,247.93050247976367,139.338486469693,233.4109841215493,309.6380121272024,173.73335553755044,754.169821668129,497.63293286493627,98.6886742790348,407.00904823853386,217.3589720633321,402.5451904984119,281.19175021088324,100.39677854238388,205.00272321400587,136.28037927391398,136.1622950601616,274.97477262330284,328.9586203339436,183.2399897478844,314.6184654931858,170.44406209254794,175.47254220315895,250.1348390866474
32,284.5227811074258,361.65044331506033,95.17587692843462,457.5643299331464,225.2747118502199,573.2535152807454,174.88107567857554,183.32481532494643,128.6350992953647,231.34802059514848,283.5936474268237,147.92188083193324,735.0329074166517,497.77571767658577,115.7932787810318,309.33133149882985,199.1168653368213,415.68495247459714,285.16859940859194,109.81425935180786,234.67673852518604,119.85991458451922,133.85725942998363,207.19573742817528,332.2571624916937,201.2731898614652,240.78317458720807,166.5840148931261,138.23633097585088,222.81800871991783
33,337.8303416961152,219.0547333717752,97.0709710353488,418.1627538698585,249.70699346832305,668.1096234071586,173.84204040840774,174.6913353989092,149.6553223868389,223.0846117654564,205.6902315966015,139.04467945119168,638.27318030817,506.9127255009988,104.96861928173696,226.17357177272584,237.6996270618725,318.1911218355403,313.2382396710389,126.27640676412962,156.93005674513162,119.6481981255712,135.1275844696975,209.3039526447461,346.9560299289995,171.8630986554499,207.8226953477917,131.3014794730485,126.56915047259128,314.47997482372216
34,271.1978885036276,175.97839809337933,96.73444049295608,409.3883023473628,243.1626528462217,664.5152898347586,174.4372463730591,156.06183452265404,124.87080836158846,183.6424693004024,247.31268020226264,86.20955528248008,563.1997892474882,458.8138105875197,83.59482910738711,239.26401054620115,227.29638782948672,234.8413384636684,292.742942832891,119.4450619893106,147.40647419293865,105.36881334213032,129.64651277804015,202.680221029417,295.44916974299986,145.63626434010374,171.15931597033028,145.7779821286706,121.22094256741322,279.0195324563672
35,295.09113352753394,195.72868478766227,84.36458180273543,378.46039740897896,202.6808996390122,695.357506916404,150.81402179605968,167.94781402230117,106.07193309118183,181.6179519342117,331.2900749900833,89.76224786886715,490.9514871415356,435.4644640941289,78.6263619622202,252.3902232833395,202.50106653096776,201.76304626534204,253.40694823604773,123.55472111346896,142.06597675232018,112.642764552753,148.95143302960125,206.8729500338522,311.13719580067936,137.20213233841207,166.94405709578777,143.93340871209983,109.08162575929778,241.46066006414995
36,297.42736158624626,154.06909467970831,79.11264112638908,251.3080008928232,183.90303388445668,633.3186315522825,140.78789249644132,141.35674884058406,102.10508527468603,153.85043867622713,290.388844186313,88.64703769418941,409.21089814417286,436.8328907985209,85.39208333420407,211.1448421386043,182.00775941588563,180.1753529477656,279.2431999661509,131.08726355230692,150.70244527217892,122.40109141996253,158.34859487390383,153.34990094894806,285.5971277781657,139.20143770360824,145.8845548766087,143.63195927818165,145.7224448981814,266.1403377648261
37,324.9749107076796,118.11712340962376,80.73527832499526,289.4190913792661,230.80272387667773,553.0995873484271,147.18678566531247,120.3323075024033,99.38822415281231,161.01049882917985,330.661923617966,145.40854522588762,355.6653975662702,419.82384005834047,69.26658927045368,216.30839767228,161.57601347328074,195.1257919345621,305.9692962942314,171.99807638652763,138.71027134193696,121.7040025406674,203.75489915651235,181.7623035645996,252.7246387108476,145.6927829283939,140.73587522793142,108.41131112889629,107.0350094903184,275.9901511720949
38,277.8353142259693,99.4820246541427,84.74178707362243,304.222571725272,221.22711984527984,566.2184095765366,131.38849838050714,115.4077300611749,120.548897356191,143.55534967968126,290.44121974850856,149.04092215639272,330.08374893602365,406.6482602417935,75.25363841208663,202.79338389378543,177.2016461384275,232.20372054014967,281.3801731420739,148.09794749114155,130.65873537181926,98.84422151629894,183.43781353052591,192.87883342433,332.8443560856259,121.38800729733636,128.52626818705346,126.69887693084812,151.2081840097407,218.93226534604943
39,280.66229169147044,115.8760506571827,87.3681708459151,307.10697155362726,157.42638560557464,549.7590232209421,154.5782020980771,110.37556463869876,144.12957007030496,114.04362522562135,332.4495119885149,168.66120505827496,336.8461757596174,341.26584769035713,75.8495942965854,208.69527708924264,240.45947130180068,250.08017287438176,211.79931649809788,169.4947106847154,117.02704363757566,116.0261572144242,172.01853803636467,156.0963949173806,337.9427276147265,116.18955607788403,121.69547292072188,154.22891952898388,134.58359223755716,197.1063732359184
40,279.68578898042324,89.22410747443652,91.16448086660648,272.84294901147905,170.948390339615,534.0028979540224,125.6177800180639,109.3267232469326,146.76141669527556,77.80527729494082,409.2979547725915,172.82033580564462,370.4240260921682,336.58056621160495,78.02953751927808,174.0754923287746,166.33633719067288,236.4524364856944,216.2505301273356,142.55148879154876,113.27424429214318,97.8661180057974,153.49174988592318,112.05526423034875,302.3342609382024,104.98127537407548,127.32974247475316,161.76482312341474,142.58819525810128,154.85728637748932
41,214.9632022867736,91.90559082536058,88.91310596899297,228.32820012975424,156.49823885989073,472.1329759446384,128.36455066461548,137.57131332926383,148.44714349428088,56.15556847708131,324.31594095802285,138.48258872557838,425.3051052081073,255.355578825614,65.4767813589773,172.85594647352485,176.3305782566195,217.1113865980549,216.08402244463943,116.76340673816613,116.2932716097255,103.33514783723602,136.45528627529595,99.16807313930042,288.45235096000226,111.90187188302558,123.17239118850998,143.7649735691356,136.68403218405874,137.2005512655666
42,193.0564001288053,113.63151569386036,105.09216215671027,185.65650919452293,150.47683594980782,540.2133781516503,154.34005016613526,103.14626458190249,155.89015607843257,65.07880557126109,381.2431845718692,131.44236834860237,430.36085625944526,236.2539190143692,62.4971306682135,144.59559196618602,150.9521510812188,209.8683907202181,197.6245419829192,131.46780450714357,178.97908851610632,83.8741718689486,161.7909227092509,88.40292350942933,372.8213441977317,87.78313387643028,125.9269158619083,161.42904536001018,140.87497200612933,160.79344136578828
43,163.1466446020182,107.30678060975644,82.56612600629792,174.74726600033617,176.66301753573086,517.7790846866254,155.32954032663412,76.64072509679137,152.2299156011121,56.0912543483794,398.3199468700735,115.33309870832434,311.4756266596713,217.7110764607922,65.69634723583542,165.75557808136514,152.10464418601825,190.17129464990413,219.04453491787447,100.25356136809695,152.77309397162807,89.52307864444549,158.10703796197444,76.30097767975522,354.4592075693157,75.88854857674829,122.46921071540392,128.99544028225202,126.56509537811688,192.4762730148354
