n_policy,pack_PPO_Ant1_relative_perc_criteria_best,pack_PPO_Ant2_relative_perc_criteria_best,pack_PPO_Ant3_relative_perc_criteria_best,pack_PPO_Ant4_relative_perc_criteria_best,pack_PPO_Ant5_relative_perc_criteria_best,pack_PPO_Ant6_relative_perc_criteria_best,pack_PPO_Ant7_relative_perc_criteria_best,pack_PPO_Ant8_relative_perc_criteria_best,pack_PPO_Ant9_relative_perc_criteria_best,pack_PPO_Ant10_relative_perc_criteria_best,pack_PPO_Ant11_relative_perc_criteria_best,pack_PPO_Ant12_relative_perc_criteria_best,pack_PPO_Ant13_relative_perc_criteria_best,pack_PPO_Ant14_relative_perc_criteria_best,pack_PPO_Ant15_relative_perc_criteria_best,pack_PPO_Ant16_relative_perc_criteria_best,pack_PPO_Ant17_relative_perc_criteria_best,pack_PPO_Ant18_relative_perc_criteria_best,pack_PPO_Ant19_relative_perc_criteria_best,pack_PPO_Ant20_relative_perc_criteria_best,pack_PPO_Ant21_relative_perc_criteria_best,pack_PPO_Ant22_relative_perc_criteria_best,pack_PPO_Ant23_relative_perc_criteria_best,pack_PPO_Ant24_relative_perc_criteria_best,pack_PPO_Ant25_relative_perc_criteria_best,pack_PPO_Ant26_relative_perc_criteria_best,pack_PPO_Ant27_relative_perc_criteria_best,pack_PPO_Ant28_relative_perc_criteria_best,pack_PPO_Ant29_relative_perc_criteria_best,pack_PPO_Ant30_relative_perc_criteria_best
39,0.0129404494397793,0.018187310409517,0.0089421039808204,0.0736747941934481,1.0,1.0,0.0251689617374247,1.0,0.0425007323697591,1.0,0.1595935866421158,0.0904563156455468,0.0100604645173388,1.0,0.0067336595356594,0.0073659423886757,0.0865071572242918,0.0832871963400487,0.1178043601813019,0.076460756342095,1.0,0.0189674791166793,0.0487579948990097,0.0032472599580617,0.1142022277760863,1.0,1.0,0.0513520809583964,0.0291282421146161,1.0
40,0.0116053009143715,1.0,0.0130541355647128,0.0284339092965212,0.0160164661795431,1.0,1.0,1.0,0.0450007780602128,1.0,0.2563479905315419,0.0950192279064681,0.060014243042608,1.0,0.0089634915668383,1.0,0.0052203856625321,0.0670506055374898,0.1227843553717814,0.0466465627711367,1.0,1.0,0.0276031690596442,1.0,0.0664827086639359,1.0,0.0064154432597444,0.0597982732628194,0.0375918359391357,1.0
41,1.0,0.0029413290043414,0.0106155242195616,1.0,1.0,1.0,0.0029626536615621,0.0307944072716811,0.0466020849065731,1.0,0.149353186342025,0.0573478641814543,0.1416608417448404,1.0,1.0,1.0,0.0161805211209544,0.0440069610347854,0.1225980674224549,0.0181105965377033,0.0030036782613613,0.0060308585421845,0.0081500713248963,1.0,0.0478793221565745,0.0077547875261734,0.0016816883280806,0.0396241575936014,0.03134912308952,1.0
42,1.0,0.0267725763398285,0.0281401177535076,1.0,1.0,0.1279241229857177,0.0309797029939111,1.0,0.0536723569195593,0.0094734613979862,0.2210262264373427,0.0496241570347126,0.1491822841777588,1.0,1.0,1.0,1.0,0.0353773869882343,0.1019456944798739,0.0343818414232249,0.0653707938024554,1.0,0.0370795852772124,1.0,0.1609436622151992,1.0,0.0048181191609131,0.0594219357041277,0.0357803749962009,0.0267790841780264
43,1.0,0.019834951035819,0.0037406952602078,1.0,0.0307636246379525,0.0857697404720676,0.0320469623410874,1.0,0.0501954185810831,1.0,0.2425263622457749,0.0319509487561319,1.0,1.0,0.0032499280867245,0.0246207088829631,0.0012493205696803,0.0119095358520866,0.125910273734285,1.0,0.0392980333235473,0.0061345619293045,0.0328731389354015,1.0,0.1363362468569496,1.0,0.0008810140998935,0.0230705596309385,0.0206499577665591,0.0627406476882171
44,1.0,0.04187484313738,1.0,0.0119795521790042,0.0180801890053921,1.0,0.0358200838215732,0.0045479941045852,0.0382107654778846,0.0050457981257449,0.1511913039954966,0.0437708185062789,0.0711390075654605,1.0,0.0108296664822214,0.0303365463252257,0.0095570681130332,0.0231796479457681,0.0961249542332778,0.0169644929617095,0.0579645464259759,0.0086769243384666,0.0401758408898509,0.0161579826805104,0.1077832433933895,0.0002413730505458,0.0138530658031739,0.0164706095508474,0.0191045035932105,0.0326816139906843
45,1.0,0.059587360736195,1.0,0.0875080983621494,0.004556932231066,0.0250997651041081,0.0368643006438901,0.0254079310223665,0.009986708814586,1.0,0.2727582042836753,0.0489754036866094,0.0240837269274224,0.0236434411437086,0.0011768411143704,0.0087682417807283,0.017499145105958,0.0262713892523269,0.0670893724484953,1.0,0.044360050288975,0.0011855097259477,0.0562605684839066,0.0052541927642369,0.0972788881547797,1.0,0.0153296684113524,0.0341029942300131,0.0242332475637086,0.0258156572324173
46,0.0214010682811749,0.0951207106789629,1.0,0.0407048946231946,0.0164713696862761,1.0,0.0049551012680002,0.0587361403322723,0.0265533603794878,0.0032576248577731,0.2717278540607633,0.0611962415045119,1.0,1.0,1.0,1.0,1.0,0.0106066510875498,0.0729680663575634,1.0,0.0428028864183625,0.0111363759232129,0.0483501772254919,0.0166691287626029,0.0902691181221415,0.0053889640589758,0.0524435382742469,0.0141259236612969,0.0229063802668367,0.0093641704481792
47,0.0083108182293022,0.0825594541486589,0.0102353975324915,0.1595610167723937,0.0040142602908587,1.0,1.0,0.0470195403931939,0.031886450638641,0.0160637321474607,0.1950083787516799,0.0317742111643012,1.0,0.01317730748423,0.0011853899710627,1.0,1.0,0.0197434889528227,0.0749634848280863,0.0108934544867414,0.0192078926199099,0.0124382618552842,0.092492452607579,1.0,0.0823998243326183,1.0,0.0384709374547384,1.0,0.0156021013032388,0.0011743656682253
48,1.0,0.0849799755447229,0.0223556255670381,0.1412987506806199,0.0031701126731367,1.0,1.0,0.0296685886036296,0.0244954642384331,0.0179076094042841,0.1647167566793463,0.0471981840133587,0.0464101208245538,0.0211401732546148,0.000635764569597,1.0,0.0241499977284251,1.0,0.072826118103827,0.0091930496087653,0.0153214095734667,0.0246830373465814,0.1000367858090413,0.0171441221248292,0.0040845106750888,1.0,0.0389330564310036,1.0,0.0166305133528911,1.0
