n_policy,pack_PPO_Walker2d2_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d9_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d10_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d11_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d12_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d13_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d14_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d15_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d17_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d18_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d19_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d20_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d21_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d22_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d23_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d24_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d25_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d28_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d29_norm_from_mean_worsening_to_improvement_reward_diff
1599,0.9426183216586562,0.0,0.2175350639880985,0.1307824912461581,0.4997680438912311,0.0102823814000713,0.5527859837856793,0.5634348495398981,0.0344458937456528,0.6937711763314676,0.4647568283165376,0.4692739044313909,0.5133306516830676,0.1300090919654512,0.5169063114203947,1.0,0.7507953287233308,0.3815414112768728,0.910800120187562
1600,0.9395803293016824,0.1633806494230006,0.2202536646022184,0.4284507367145915,0.4921993509868831,0.0,0.4469983873382223,0.5931104159401627,0.1211193311935106,0.6930290863929841,0.4219219780536652,0.5177035448887991,0.3608944910125859,0.1799119774422018,0.5711073167376293,0.97872739372823,0.8155819016977427,0.4265702548048686,0.9191802998992488
1601,0.9222252425930896,0.1451350251108861,0.217518013355601,0.5844633468049317,0.4414879469855038,0.0569988770874098,0.4356754450235814,0.6650101553863342,0.2107508782790682,0.7022473286428372,0.3686323006434404,0.515403177072872,0.0203621784016645,0.2388570882115719,0.5883948299515406,0.9369335810106766,0.8061922938462754,0.4326482931308502,0.9156490144196334
1602,0.9233592478761606,0.0682693687857172,0.1912937727641744,0.6478905455816641,0.4760306799468674,0.1770356192904206,0.5480668982590697,0.6179495473850035,0.3177971355104552,0.7622757564206607,0.3980866198005863,0.5349600408084039,0.0025139165897742,0.2694653265246141,0.2294803226347946,0.9689997360325604,0.8303315003141388,0.3955250990459183,0.9411731748707872
1603,0.9395161198631096,0.1026924381212121,0.1016021493374,0.719947297288837,0.5023015504889015,0.0605126911469774,0.5477964392833996,0.5762468643468093,0.1563805236652312,0.8081546824330841,0.3909408783441772,0.5432644258205552,0.0030318363821832,0.1295691128978963,0.2344223729447817,0.9266951787492832,0.7799698621533373,0.3608329639619114,0.9345004573103798
1604,0.942613404091354,0.0,0.2396276992051028,0.3805401883247467,0.4540042823772052,0.0805117350238191,0.6208398777713677,0.5374467086704006,0.1295460876574855,0.7887877764715108,0.4530796587561434,0.5397388140521469,0.0139417833949863,0.1120616685465305,0.291780420325241,0.8857941473607528,0.7365356823614841,0.3678548833566758,0.9123141507563904
1605,0.941054146877885,0.0,0.1208215467161301,0.0459429617455871,0.5426787256456501,0.0456783113195833,0.5770616769123522,0.5222620114407012,0.0764920071229636,0.8198511211172599,0.4531562693444819,0.512971690580552,0.0022530342165151,0.1410476291397569,0.357196566816611,0.8859791724107939,0.7533894079825731,0.3249285788649696,0.9114891665223837
1606,0.9444008128566066,0.1025042624551861,0.0934800947684773,0.0,0.5581281209897356,0.0273351069608317,0.5299585420360552,0.4940203726293115,0.306005915042907,0.7992068285061307,0.4489578789296817,0.4762110047993712,0.0105162173019804,0.3122663214382983,0.2981586026837393,0.8833697416059199,0.7486055667550121,0.3101666652378348,0.9190271329196964
1607,0.9467212483413948,0.2275373345483859,0.0731018884104249,0.0,0.5458310463403069,0.0671994019341024,0.5288650546432008,0.5383292854642128,0.2837082796820425,0.7825971460045741,0.4514818162626178,0.4979822283254028,0.0164593056860846,0.2201258498779523,0.27204551970894,0.768368671021637,0.8063583106680875,0.2901766524397951,0.8832986990911779
1608,0.9360361350739994,0.2006027081231534,0.1097903317209157,0.0,0.3549914289974099,0.1062085085362497,0.5672749066418429,0.5143701262729552,0.1729583480344312,0.7620625582867849,0.4637894583264149,0.5439073655253851,0.019351161203343,0.3045815628448984,0.4279093190131606,0.7520573459355769,0.8280454881584178,0.2548622374521099,0.8790611081521081
