n_policy,pack_PPO_Walker2d1_relative_perc_criteria_best,pack_PPO_Walker2d2_relative_perc_criteria_best,pack_PPO_Walker2d3_relative_perc_criteria_best,pack_PPO_Walker2d4_relative_perc_criteria_best,pack_PPO_Walker2d5_relative_perc_criteria_best,pack_PPO_Walker2d6_relative_perc_criteria_best,pack_PPO_Walker2d7_relative_perc_criteria_best,pack_PPO_Walker2d8_relative_perc_criteria_best,pack_PPO_Walker2d9_relative_perc_criteria_best,pack_PPO_Walker2d10_relative_perc_criteria_best,pack_PPO_Walker2d11_relative_perc_criteria_best,pack_PPO_Walker2d12_relative_perc_criteria_best,pack_PPO_Walker2d13_relative_perc_criteria_best,pack_PPO_Walker2d14_relative_perc_criteria_best,pack_PPO_Walker2d15_relative_perc_criteria_best,pack_PPO_Walker2d16_relative_perc_criteria_best,pack_PPO_Walker2d17_relative_perc_criteria_best,pack_PPO_Walker2d18_relative_perc_criteria_best,pack_PPO_Walker2d19_relative_perc_criteria_best,pack_PPO_Walker2d20_relative_perc_criteria_best,pack_PPO_Walker2d21_relative_perc_criteria_best,pack_PPO_Walker2d22_relative_perc_criteria_best,pack_PPO_Walker2d23_relative_perc_criteria_best,pack_PPO_Walker2d24_relative_perc_criteria_best,pack_PPO_Walker2d25_relative_perc_criteria_best,pack_PPO_Walker2d26_relative_perc_criteria_best,pack_PPO_Walker2d27_relative_perc_criteria_best,pack_PPO_Walker2d28_relative_perc_criteria_best,pack_PPO_Walker2d29_relative_perc_criteria_best,pack_PPO_Walker2d30_relative_perc_criteria_best
20,0.8661591718101518,0.8572727254102466,0.5438461897430032,0.8513926192576802,0.73994492337921,0.9562455410039336,0.7964663815217602,0.7661553562691525,0.7322811197635768,0.8195330946695807,0.9806094002158954,0.7104916139667062,0.6884535076339992,0.8401139982891808,0.7131859643672548,0.7763115129250021,0.8862209860558068,0.7529014330962288,0.7240240977900474,0.7407203466954794,0.8683976281128032,0.7352629512509109,0.8433668325781081,0.8978638086142211,0.7224799260291077,0.8955455983147623,0.8751218559327297,0.9450336353492158,0.8834319433129849,0.8137158604486617
21,0.8171366613772935,0.860898030846065,0.5520533861731812,0.8490247909853944,0.7397304050644686,0.9579956869050138,0.7936604662606658,0.7709235589426822,0.7230549821727499,0.8497134379485275,1.0,0.7032681547901679,0.6811926920613008,0.842079263120563,0.7131198530152111,0.7737074701670236,0.8813613095589562,0.7565318072151355,0.7243351096207116,0.7408804954446483,0.8598278074902841,0.7395894088477931,0.8452363132282502,0.9294914611723324,0.7235135940568634,0.9156780840402576,0.878377081460704,0.9353392003585308,0.8763906805398088,0.8144124862095196
22,0.8467569473507144,0.8607612475786935,0.5659572273587217,0.8487988589755515,0.7381088111563386,0.962428704970812,0.8060596212843312,0.7765354252882642,0.7229051833720216,0.8488374888180178,0.9810527073045918,0.7025882574379304,0.6748736534860638,0.8336735473224947,0.7189770676973448,0.7676523560480174,0.8893609313151769,0.7620134858550297,0.7229348050042438,0.7422326286489975,0.8902488432391906,0.7437671054925896,0.8513689834021013,0.9681807785528538,0.7282819769697975,0.8960300021822362,0.8829770935486583,0.966045603477075,0.8803417526188162,0.8139525449310039
23,0.8942228126049361,0.8692132241622547,0.6111419352065841,0.8526690143884855,0.7343117515356233,0.9581851952298948,0.8029313421514178,0.7639890172342041,0.7246786421857111,0.8393736446016802,0.965651467445805,0.694890784947537,0.6785873831109985,0.8411502116275623,0.7171090427358127,0.7726002955587543,0.9363315963146944,0.7592748628505501,0.7325716660562002,0.7443884079068334,0.909173720239825,0.7541836772456935,0.8509637511371675,0.9847818766409075,0.7268936342968487,0.91029624704297,0.8860911711357073,0.93879674802999,0.8916060099215294,0.8098641960928857
24,0.8176133932488646,0.8706426831367738,0.5937522776835614,0.8484888667983507,0.7353750544814533,0.9699868329585216,0.8022118763525855,0.7638234569788434,0.7240580736045493,0.8273851243951694,0.9755047530042276,0.6926369676014303,0.6854377281177945,0.8454889831273182,0.715214115113875,0.7834338554525261,0.9344882369900628,0.7625963703397942,0.7376707647890947,0.7425397976124166,0.8746365591455493,0.7520647581533749,0.8457549396810033,0.9823080809816104,0.7225447464314696,0.93431402769241,0.8803893192969383,0.9768909636068812,0.8955798663291696,0.80741818864512
25,0.7934573688674432,0.873076597546731,0.661951833956563,0.8461562205035174,0.7377996991140373,0.9748924174472512,0.8032159043568828,0.7661414348802572,0.7374302129714891,0.8550957233344838,0.9351081244466032,0.6878646079816207,0.6960608356278218,0.8435249573609964,0.7181407407028875,0.7820254245137233,0.9207517365975412,0.7662351350421376,0.7409510324777153,0.7437652872452173,0.8683915613577372,0.7528516006724265,0.8446845460174681,0.9963346228897576,0.7230675295902234,0.9240076819892802,0.8804041358273572,0.9521168069199446,0.8905759598314488,0.8052365140959362
26,0.792953533948505,0.8808939153361792,0.6765302558755859,0.8425124219908505,0.7362360375770676,0.9660113095582362,0.7967200024220235,0.7711286276657254,0.7651167981174581,0.866994664917499,0.9422512828521254,0.6913152959227177,0.6968963231272264,0.851482013706812,0.7210656854951981,0.7926023876466198,0.9948277353873038,0.7656729636922389,0.7491995976647665,0.7463857217630601,0.8746337916950999,0.7546004713542305,0.8419693999048314,0.9921733850038108,0.7239946790122945,0.9118043113089708,0.8816437978681751,0.9123247383820016,0.8988097870835842,0.8045644188047739
27,0.7942825077270105,0.8674737218902948,0.6094456530810407,0.84655820706371,0.7422763992543411,0.97917861370365,0.80217108739879,0.7783761814455973,0.7534670829930268,0.9342748916289858,0.95009454891214,0.6902971558047336,0.6964226508302298,0.8468310038922316,0.7221687132619382,0.7884453720051814,0.9905044189324018,0.7621689784571373,0.7618350458251527,0.7467568839237959,0.894881995918573,0.7546354132274485,0.8448978676559562,0.9937934135318092,0.7282993304276136,0.9190880980982342,0.8854320054551219,0.9199552107515346,0.8969358831193945,0.802723946428623
28,0.7941298603783571,0.8983155605580819,0.5579411415061678,0.8431349613277483,0.7376852462324583,0.9687504031469504,0.7962257456729799,0.7717459327130635,0.7711696914555225,0.9416783128631516,0.9462683732215272,0.6845713125637629,0.6969223251607812,0.8694558087077663,0.7275232218195415,0.794115161669809,0.9926298196980996,0.7601051686542163,0.7613784303511889,0.7470922388296087,0.8703931465241265,0.7565977470497033,0.837661381849755,0.9976069655501032,0.7338069788946961,0.9224630036236384,0.8982234517060399,0.9173349132450908,0.9033947886092416,0.8035950735568937
29,0.7925972171600649,0.8731164115672877,0.5505390105309771,0.8429894550461714,0.7363539515838614,0.968311469230508,0.7943287122677037,0.7752460479252968,0.7845906653831344,0.8955248425165737,0.9226984938077096,0.687930950653935,0.7072344323745756,0.8601348338508108,0.7209234840450749,0.7915800339633206,0.9688266456769168,0.7566016596492143,0.7865642545384808,0.7506500026876463,0.8804194870108795,0.7610654373758047,0.8311104195445264,0.9911531666106655,0.7290168831523555,0.8937943999546675,0.900606067597317,0.9199967500249526,0.9157185107188676,0.8020886871567022
