n_policy,PPO_Ant_seed1,PPO_Ant_seed2,PPO_Ant_seed3,PPO_Ant_seed4,PPO_Humanoid_seed1,PPO_Humanoid_seed2,PPO_Humanoid_seed3,PPO_Humanoid_seed4,PPO_HumanoidStandup_seed1,PPO_Ant_seed5,PPO_Ant_seed6,PPO_Ant_seed7,PPO_Ant_seed8,PPO_Ant_seed9,PPO_Ant_seed10,PPO_Humanoid_seed5,PPO_Humanoid_seed6,PPO_Humanoid_seed7,PPO_Humanoid_seed8,PPO_Humanoid_seed9,PPO_Humanoid_seed10,PPO_HumanoidStandup_seed2,PPO_HumanoidStandup_seed3,PPO_HumanoidStandup_seed4,PPO_HumanoidStandup_seed5,PPO_HumanoidStandup_seed6,PPO_HumanoidStandup_seed7,PPO_HumanoidStandup_seed8,PPO_HumanoidStandup_seed9,PPO_HumanoidStandup_seed10,PPO_HalfCheetah_seed1,PPO_HalfCheetah_seed2,PPO_HalfCheetah_seed3,PPO_HalfCheetah_seed4,PPO_HalfCheetah_seed5,PPO_HalfCheetah_seed6,PPO_HalfCheetah_seed7,PPO_HalfCheetah_seed8,PPO_HalfCheetah_seed9,PPO_HalfCheetah_seed10,PPO_Walker2d_seed1,PPO_Walker2d_seed2,PPO_Walker2d_seed3,PPO_Walker2d_seed4,PPO_Walker2d_seed5,PPO_Walker2d_seed6,PPO_Walker2d_seed7,PPO_Walker2d_seed8,PPO_Walker2d_seed9,PPO_Walker2d_seed10
10,0.10318459514742132,0.0767455457756307,0.0613392983236368,0.0222944620268542,0.38175178848819497,0.4597455103010003,0.3310868425482197,0.43280276339136153,0.13513476068008223,0.0650037572176019,0.13225244492139268,0.0406599099500467,0.07870753906779329,0.0608473527658073,0.010264466284588991,0.41970462558694044,0.24656518974218106,0.48387818990474285,0.37923079988201114,0.27189749151458265,0.21824911920658985,0.10094711122245037,0.008111565617806793,0.14562181459065715,0.07675361100086109,0.0,0.005869451338626597,0.7040585318279249,0.019445988823522553,0.06358854417421578,0.0,0.0002767684127112993,0.005665544701429598,0.0056276012864601,0.045280583942414195,0.09589606155158381,0.0862560907489309,0.0081264271361626,0.0204331333651718,0.0279149697301469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022485172809619952,0.0
11,0.1195658423195956,0.1252652679178929,0.09614801089749239,0.10143213123411099,0.35292069143259197,0.47880191963286634,0.3873511533214867,0.42174257558906125,0.05135423524949667,0.0687232194032058,0.15579830057444927,0.060935863322568395,0.09069869000641667,0.09331058730594241,0.0341851831450464,0.43140594558565637,0.28384010147228733,0.46596121488783254,0.3651939414954967,0.2655341343555705,0.31202649363817486,0.03135072124148042,0.05151548993110988,0.2674417233951998,0.024073307755169027,0.025986149559375615,0.03956612155750383,0.693200452261315,0.033014063429335994,0.08061193481669271,0.0056666694484554005,0.0018180188694055036,0.007161055582945799,0.0054854267619681004,0.048211276558332294,0.0856906439479384,0.07293086592529649,0.0073704703012725005,0.0219655012359465,0.030500554456007297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.15624091060538742,0.1519935233865237,0.12749747363769098,0.1516758012522729,0.3570457888905782,0.4975513774004605,0.3875379202781475,0.38678234779806625,0.21436173572192851,0.0888395796417576,0.14950625520230687,0.1066078030781336,0.11603403486384889,0.13279507416639702,0.052346872961195084,0.44841964189799066,0.29182845964210813,0.44101473847400646,0.3433692519007639,0.2893214596124598,0.35107635447058677,0.010620312303895152,0.049506288204405835,0.32973467572628046,0.13536424331635188,0.14038923751006227,0.07037535279606588,0.697647005211518,0.1526061002530391,0.002202769096718127,0.0002305288542645001,0.0063668384248265,0.0073632213163935,0.0060749879257049,0.054449247497028494,0.0971028320510011,0.0750110917002369,0.005983027587476101,0.0246828485963306,0.0374461135752852,0.0,0.0,0.0,9.909131607940824e-05,0.0,0.0,0.0,0.0,0.0,0.0
13,0.1576992418952109,0.19112295574184948,0.14527740067367667,0.1742638504075033,0.3752665962855461,0.496885558073609,0.36228557025500585,0.37628554442534473,0.18304815420915432,0.1065081986254264,0.18514511147750778,0.11736773534816039,0.16423441031550767,0.12548817733474898,0.0674656126321445,0.4291959365321293,0.3142632680770778,0.47915325388782204,0.34214326176289744,0.2715049602890556,0.36324369594360983,0.09950466393748647,0.07081018791474702,0.3517995007451975,0.2100377939905475,0.19340010215961334,0.07697823506629375,0.5939688809018882,0.26987773435765766,0.019250495364368292,0.0027604668447305004,0.0224785934549231,0.0095494209019779,0.003937592801527201,0.0565207481167849,0.09378315578945741,0.07576404450428699,0.004331851206451501,0.0266379130368042,0.037828516599934095,0.0,0.00015644405325620364,0.0,2.6777049140100373e-05,0.0,0.0,1.8588633081004224e-05,0.0,0.0,0.0
14,0.1617512033796943,0.22305455318407258,0.1660186179532669,0.1903286528501878,0.3469819979944603,0.5125562163367527,0.35779112826436066,0.37776578164979885,0.17793701953125762,0.11155608062325109,0.17723702922167228,0.1491340394731536,0.1873425431185477,0.1506968010522311,0.06359826916364829,0.45875153518036854,0.33196958047285696,0.45007311391469756,0.3471513116650101,0.3009302183861422,0.36691374980915237,0.05240467481738953,0.06032615385189244,0.45274023024792076,0.179321413952773,0.20411739123261152,0.14411327095286203,0.41858234257383864,0.28727901124593785,0.014470463544726808,0.0051614963169773,0.0284481307608737,0.0114818545094897,0.0,0.06048893594881549,0.0947478064379243,0.0843156203144408,0.0017859380405351004,0.0203307359839195,0.0346502790033721,0.0,0.0,6.16491991898005e-05,0.0002782943266002036,0.0,0.0,0.0013639323702425987,0.0,0.00045171098185249614,0.0
15,0.1918435759167732,0.2479520536144858,0.1734456054448006,0.2299693203964548,0.36458522651132597,0.5175454541325886,0.3542919011247418,0.4180370641380092,0.0999942210972447,0.1372701759565688,0.18726481006238077,0.14982365526818198,0.1944594052859684,0.1646949580691627,0.1028696798138468,0.41433208239078345,0.30292552497079567,0.43989058367585177,0.34348665410165924,0.31320797637854436,0.36024405284567157,0.10880485279507035,0.035800976646379934,0.4893962228463441,0.139919977434515,0.24411762345145716,0.12147011019779191,0.35095181497994665,0.28744788471179783,0.0,0.0050456961256179,0.0329849568725349,0.0132255710697693,0.0,0.060899511126335897,0.08982383590314061,0.0838424945544239,0.0023969716178959006,0.0263177458821756,0.0338713307367485,0.0,0.0,0.0,0.0028287263254695993,0.0,0.0,0.0016226993401161002,7.068009757570104e-05,0.0017521236141057953,0.0
16,0.2243218146251048,0.2821675366242422,0.17756591181086298,0.2218885307101183,0.38392696978061486,0.5362638632793154,0.3585363541700336,0.36877871552597374,0.12611768294318293,0.15536583816319138,0.1972119661353248,0.15865462038421269,0.1987596378886829,0.177414321124521,0.1086039750197077,0.44478251257083024,0.26534587988968494,0.4368666882843916,0.3032501155530949,0.29936626297563607,0.35829152086940047,0.07429371114907934,0.014001476745712504,0.4632562287330093,0.10591885538471613,0.23355709486485832,0.11351291484536552,0.3824442016815305,0.29234678716716894,0.0330812957384089,0.0,0.0371356376848825,0.0081944523705657,0.0032636195898406006,0.0787754537194471,0.09461608409917041,0.0883298059747152,0.0014557614391033005,0.0272731933208438,0.0565108316035396,0.0034509119516372005,0.000844043565156799,0.0,0.003919691748348303,0.0,0.0,0.000908872192957301,0.00022333692204488942,0.0006369919630275986,0.0
17,0.2389589651603581,0.3040106345240493,0.1963291401707347,0.1941088773690713,0.36278184809638997,0.5353504637239275,0.3654492157727869,0.34479062845956515,0.07574380894847665,0.18820863942281219,0.21880810715722848,0.1658443468017008,0.2061002934591048,0.1904112273871395,0.1357343983743752,0.44100260146557213,0.25697591482424853,0.44850292810100983,0.3034569405406407,0.29122777183337956,0.35078881289475927,0.0813808539531472,0.0030826712677025636,0.3847342503300938,0.16496076059116316,0.26165422497773005,0.13426944022444165,0.41719006210218545,0.1312141905197255,0.13333070028078586,0.0,0.0383816494448855,0.014627665570881198,0.005597738432555101,0.07849907996644119,0.0957188994847018,0.083880997067061,0.003604795108202501,0.019343525991526403,0.0365444067099856,0.0,0.0009149397143871918,0.0,0.004679044677327507,0.0,0.0015808612686874987,0.0012730846140312016,0.002491588505793292,0.0008304638357196983,0.0003722483366727994
18,0.2551618341277592,0.3178991918607798,0.2074248108152284,0.211235554706259,0.353651051002161,0.5390783686961735,0.35946090885348436,0.37132607357652314,0.07978858720705773,0.1769169121478249,0.2229093231488426,0.1741581822110794,0.2134666964491609,0.1978492958000132,0.1396356441660521,0.43713551528965816,0.24160698289258525,0.43255705586591797,0.298159381112593,0.25246583009277745,0.3184754819017513,0.11276503899410639,0.09864952752844913,0.41005984869871615,0.16206196285357177,0.12003677975690219,0.13834527126569696,0.399804096892747,0.27395618581941494,0.10935053228252534,0.0163616683283766,0.0242119901961745,0.0137076638106589,0.004990973576900102,0.084690242125276,0.09094243716634161,0.08169146076186329,0.0050780903386177,0.0193511682803059,0.0385964822419408,8.965301432610484e-05,0.0005042351406081974,0.0015172925868120052,0.007115480376001307,0.0,0.0018661928940416003,0.0010619141352323988,0.0007164795437686888,0.0011655644731973988,0.00018935797689640516
19,0.2659758057767657,0.3209104403616075,0.2153784237292731,0.2462145221268539,0.38543740271056487,0.5393950836166508,0.36257120022188627,0.3933590659910586,0.10061439606174144,0.1995128848774671,0.22324124086892688,0.176651487910474,0.21933220010648788,0.19133067060403391,0.1546643154227055,0.4307851524307207,0.22749022170852545,0.43491524655009217,0.3075650000594897,0.25905371503657115,0.32888928563608005,0.11880630342603193,0.19308989575424618,0.22138064776507882,0.10891792398351818,0.12642066082588177,0.14776381203436645,0.39050097332737577,0.26617834407569735,0.06595739486234964,0.0245613786189064,0.005065521299427597,0.0151487649358477,0.009981782336039302,0.0841551848477638,0.0854329591500784,0.08089155872109509,0.0043698315756903,0.0152001237745832,0.0375165868036099,0.00048196184363100136,0.0005008194390113963,0.0,0.0092129900295774,0.0,5.5089192162904865e-05,0.0,0.0,0.0010534397873952009,0.0
