n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker17,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker21,pack_PPO_BipedalWalker22,pack_PPO_BipedalWalker23,pack_PPO_BipedalWalker24,pack_PPO_BipedalWalker25,pack_PPO_BipedalWalker26,pack_PPO_BipedalWalker27,pack_PPO_BipedalWalker28,pack_PPO_BipedalWalker29,pack_PPO_BipedalWalker30
22,-118.185668456,-115.70045241,-92.000417254,-111.743697316,-113.412780198,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-107.877654232,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-115.862024812,-105.039210684,-111.899899912
23,-118.185668456,-115.70045241,-92.000417254,-111.743697316,-113.412780198,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-107.877654232,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-116.650674532,-111.947304906,-111.899899912
24,-118.185668456,-118.135802802,-92.000417254,-111.743697316,-114.80269216,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-107.877654232,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-118.619523778,-111.947304906,-111.899899912
25,-118.185668456,-118.135802802,-92.000417254,-111.743697316,-114.80269216,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-107.877654232,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-118.619523778,-113.373250062,-111.899899912
26,-118.185668456,-118.135802802,-92.000417254,-111.743697316,-114.80269216,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-107.877654232,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-118.619523778,-113.373250062,-111.899899912
27,-118.185668456,-118.135802802,-92.000417254,-111.743697316,-124.59836781999998,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-107.877654232,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-118.619523778,-113.373250062,-111.899899912
28,-118.185668456,-118.135802802,-92.000417254,-111.743697316,-124.59836781999998,-111.735456936,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-107.877654232,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-118.619523778,-113.373250062,-111.899899912
29,-118.185668456,-118.135802802,-92.000417254,-111.743697316,-124.59836781999998,-113.835753752,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-107.877654232,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-118.619523778,-113.373250062,-111.899899912
30,-118.185668456,-118.135802802,-92.000417254,-111.743697316,-124.59836781999998,-113.835753752,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-114.779137018,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-107.877654232,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-114.656273174,-109.233140522,-118.619523778,-113.373250062,-111.899899912
31,-118.185668456,-118.135802802,-92.000417254,-111.743697316,-124.59836781999998,-113.835753752,-100.236154534,-99.791115496,-106.432989058,-104.818214602,-111.633089038,-111.910594158,-114.779137018,-120.999841516,-117.80418353,-118.733319324,-92.872823116,-107.877654232,-97.99233501,-115.253386324,-119.454397414,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-114.656273174,-109.233140522,-118.619523778,-113.373250062,-111.899899912
