n_policy,pack_PPO_BipedalWalker1_relative_perc_criteria_best,pack_PPO_BipedalWalker2_relative_perc_criteria_best,pack_PPO_BipedalWalker3_relative_perc_criteria_best,pack_PPO_BipedalWalker4_relative_perc_criteria_best,pack_PPO_BipedalWalker5_relative_perc_criteria_best,pack_PPO_BipedalWalker6_relative_perc_criteria_best,pack_PPO_BipedalWalker7_relative_perc_criteria_best,pack_PPO_BipedalWalker8_relative_perc_criteria_best,pack_PPO_BipedalWalker9_relative_perc_criteria_best,pack_PPO_BipedalWalker10_relative_perc_criteria_best,pack_PPO_BipedalWalker11_relative_perc_criteria_best,pack_PPO_BipedalWalker12_relative_perc_criteria_best,pack_PPO_BipedalWalker13_relative_perc_criteria_best,pack_PPO_BipedalWalker14_relative_perc_criteria_best,pack_PPO_BipedalWalker15_relative_perc_criteria_best,pack_PPO_BipedalWalker16_relative_perc_criteria_best,pack_PPO_BipedalWalker17_relative_perc_criteria_best,pack_PPO_BipedalWalker18_relative_perc_criteria_best,pack_PPO_BipedalWalker19_relative_perc_criteria_best,pack_PPO_BipedalWalker20_relative_perc_criteria_best,pack_PPO_BipedalWalker21_relative_perc_criteria_best,pack_PPO_BipedalWalker22_relative_perc_criteria_best,pack_PPO_BipedalWalker23_relative_perc_criteria_best,pack_PPO_BipedalWalker24_relative_perc_criteria_best,pack_PPO_BipedalWalker25_relative_perc_criteria_best,pack_PPO_BipedalWalker26_relative_perc_criteria_best,pack_PPO_BipedalWalker27_relative_perc_criteria_best,pack_PPO_BipedalWalker28_relative_perc_criteria_best,pack_PPO_BipedalWalker29_relative_perc_criteria_best,pack_PPO_BipedalWalker30_relative_perc_criteria_best
30,0.3620432286859859,0.0122226217210548,0.617943249048953,1.0,1.0,0.4120179626769299,0.5207682340419444,0.7602643420667761,1.0,0.9096622135469098,0.9500287109893032,0.944698046235926,1.0,0.1396105362660745,0.0151311845061728,0.451701119990287,1.0,0.9995830883515928,1.0,0.8307098534485732,0.8615310803335428,0.8053339611962211,1.0,1.0,0.7985933675968458,1.0,0.9952023362261544,0.0208010346793634,1.0,0.6837809782085102
31,0.3949917785250844,0.0851155689004601,0.4870242770846391,1.0,1.0,0.1181984663973906,0.942731469119929,0.9640159957786112,0.8707431893429654,1.0,0.7985229327630808,0.9755488187725454,0.7384899442568496,1.0,1.0,0.6127574165128157,1.0,1.0,0.9393876895542678,1.0,0.6103904621807615,0.188844662817795,1.0,1.0,0.6299393342567197,0.4406514284296007,0.9866088083154578,0.5663365725424574,1.0,0.6970995992731807
32,0.6622726178504655,0.0336034396852863,0.5258538239419791,1.0,0.6865040169773999,0.2527161337114036,0.7921653617020825,1.0,0.7082044308275085,1.0,0.9639263493558596,0.8697390649124409,0.7187809806933144,0.8676404991791176,0.0111202017215839,0.616065526708751,0.8759688135211093,1.0,0.7253402524715777,0.0440770228993154,0.0400377088121533,1.0,0.9905838128864528,1.0,0.5040706458475294,0.5452362423298162,0.9014883385214262,0.4379548570404949,1.0,1.0
33,0.2713170423552641,0.0330590714336126,0.4148902933410591,1.0,1.0,0.6232138770554264,0.2570327066367888,0.9213909675328822,0.7076680749140575,0.8629924328039703,1.0,0.9617815438184424,0.8739371052523816,1.0,0.9728220966371238,0.6606711242050837,0.852872114856448,1.0,0.8536648751401054,0.3138723869032577,0.936551693998737,1.0,0.9804057274084768,1.0,0.4812887875888246,0.9466059823952996,0.93371542590622,0.4872505452650279,1.0,0.4175297169461742
34,0.596265474834898,0.0331536797603303,0.1121706993584649,1.0,1.0,1.0,0.9305303994322393,0.041279178844656,0.7319759815354744,1.0,1.0,0.8753341567266144,0.8808596985466934,0.3864552161643079,1.0,0.6937163409254563,0.0964653317673002,0.969346067390591,0.9767615040894772,0.2848727359958824,1.0,1.0,0.9536794866384424,1.0,0.6332933103509294,0.0061729001761389,0.8630559275032692,1.0,1.0,0.7455301392847459
35,0.5489705685021061,0.0320726163100658,0.7551270282789246,1.0,0.6758882287063002,0.1040423241637675,1.0,1.0,0.7691411176698341,1.0,0.996396413634856,0.9001731871023406,1.0,0.3994961476527009,1.0,0.632219717596441,0.7378067201227002,0.989516494452726,0.9983833456394514,0.4956100337784661,0.8668533313549921,1.0,0.9827278728278158,0.9734659190105251,0.8267533411960563,0.0227871598843804,0.8873909740646797,1.0,0.886053852056344,0.5948629861568919
36,0.7692957102251798,0.0321672642298433,0.7368064677695074,0.8906756690365895,0.7500645553967549,0.2342137231130507,1.0,0.0159591563662475,0.6787078766490815,0.9408928608255684,1.0,0.8770532639961275,1.0,0.2573779979737718,1.0,0.3358984378700096,0.5138453599914158,1.0,0.9827129847231544,1.0,0.8543868782376723,1.0,0.9891335024548402,0.6945146428337206,0.773533509270152,1.0,0.8953985803903433,1.0,0.9324452729738124,0.1461367395500925
37,0.1681263108665336,0.0725461540309167,0.199539514422494,0.8419944502369874,0.5055942797568707,1.0,1.0,1.0,0.6926022724037008,0.6421087101200129,1.0,0.9258559794875906,0.9388174183118856,0.3475755299159513,1.0,0.8268185968158142,0.5557312094416484,0.999758269225765,0.9617703670901432,1.0,0.882471648141819,0.9905605996396458,0.9889687233871916,0.7956787578446468,0.8434569442842832,0.0039691716839438,0.98266260238009,1.0,1.0,0.1459587497863748
38,0.5677553155362499,0.0813518581240791,0.5138851963323778,0.5156856586241286,0.0165719375890085,1.0,0.9409437819069126,0.0499681475546045,0.8262286599200493,0.8706239982151848,1.0,0.9695371807951266,0.4791870429639318,0.6505917166851097,1.0,0.7896168097654418,0.7314346250053486,0.9954946047839496,1.0,0.0285016520929459,1.0,0.8512294031041612,1.0,0.8356092956807363,0.7369266680718414,1.0,0.95259384897639,0.9485963393052542,1.0,0.2876484086765116
39,0.6748349138070995,0.7030384025310055,0.217318021498781,0.5585975898706627,0.040700012329836,1.0,0.9751141559894246,0.3838531531168839,0.8167932169147786,0.9337904758796404,1.0,0.9730329096402666,0.0084704570265518,1.0,0.9804543341950268,0.8875531052923143,0.8353059083546913,0.9980143587911724,0.9518985128796909,0.1050788830650015,0.92337905604548,0.929427650635308,1.0,0.9160899273666048,0.5964776038999626,0.5396174115983219,1.0,1.0,1.0,0.3021333034477751
