n_policy,pack_PPO_BipedalWalker1_100,pack_PPO_BipedalWalker2_100,pack_PPO_BipedalWalker3_100,pack_PPO_BipedalWalker4_100,pack_PPO_BipedalWalker5_100,pack_PPO_BipedalWalker6_100,pack_PPO_BipedalWalker7_100,pack_PPO_BipedalWalker8_100,pack_PPO_BipedalWalker9_100,pack_PPO_BipedalWalker10_100,pack_PPO_BipedalWalker11_100,pack_PPO_BipedalWalker12_100,pack_PPO_BipedalWalker13_100,pack_PPO_BipedalWalker14_100,pack_PPO_BipedalWalker15_100,pack_PPO_BipedalWalker16_100,pack_PPO_BipedalWalker18_100,pack_PPO_BipedalWalker19_100,pack_PPO_BipedalWalker20_100,pack_PPO_BipedalWalker23_100
42,208.08964657509844,211.8394757485691,252.5349461607545,204.06004583224893,123.82272447237236,226.54103799216813,246.9247863403509,219.96932914622536,129.53282836883795,129.3615064491032,135.53794119633417,247.69316836349023,200.60524929560984,236.29344161658577,236.9700653186659,221.5575418006024,132.0927078400846,147.74311770595028,145.72088368530646,230.04339896513
43,191.8875910770064,217.69849360749868,252.2117964410928,208.3429655702066,136.24279101809574,223.6932752427637,243.6390539468109,199.2118179021924,145.71872068993224,139.70828957167018,153.0798719965457,253.7050716192388,180.7470938982471,250.65924890413527,231.6603672022888,222.32376063561765,119.09705799465505,162.89566097109287,152.26576834234,231.5858683609217
44,209.47785067744584,216.85449074947616,234.71445088044004,217.0170750259113,160.31274284273007,226.34526576515373,236.98610717525293,216.0586422028243,157.51012963539165,155.3448604053157,145.41762990457718,252.72786619820727,181.43240086994933,259.35418151676,218.35455567449503,192.65267798595423,132.53110685897352,158.87246327153335,133.64519326365726,243.59692248999343
45,212.9225539837236,190.5531464521005,250.84277925891416,230.3976035489864,152.2796503018131,238.66864069122445,244.64148599039825,248.1229538060245,164.59560760986497,167.9594784535939,152.61339552386272,255.0897053439512,193.3062301774505,261.3374286831063,220.92138385250465,199.45366354577823,142.97662014979463,161.3465156041876,126.59015007169626,250.61416672171296
46,225.1962296269137,188.2360167455762,263.05079731371256,234.5083641701941,149.01981793296653,251.45498839195963,236.5625774624302,237.19799061917988,188.36235415915928,152.66480977688073,162.00131545134195,251.8005291720744,203.54141534409104,260.8493256717288,244.51146933954368,223.9346303049041,148.59714795826824,167.9583947706342,146.6115236281106,245.17753228953936
47,232.8815516606423,201.72573023369503,265.5542077881022,239.2310988094845,172.6010227481927,256.5632460411839,236.58491907477105,248.27033715549248,197.19861562809035,154.49065378672822,167.63608645877628,247.5121860944674,221.23152369427248,263.59577212320727,260.5113376432592,214.20348161004804,159.05233549409175,184.46517753917,167.67642358443132,246.7367195966134
48,245.64084791832605,217.7514472128739,270.02374498499205,243.79225647961576,188.07902236840167,241.54187417892183,251.4242390798738,262.18022740802087,220.5943665491233,167.21116658577665,155.61981141414566,252.50866589267827,219.46433316307127,267.7647911074915,256.7018828988778,225.010939484314,164.45193795543963,187.04657385440544,183.30215430394964,253.8138066744241
49,257.97658832505624,226.75124861201093,268.01611795251955,256.3657214716129,179.75000331151503,230.63693822029484,250.34536189665943,258.3387352489584,227.22749577926268,164.30675152157318,148.26087633963718,252.1650147282965,229.7936885487865,263.1769229435947,256.1604221585441,249.3840567516908,167.1401964929281,198.1129084453552,170.44395278018666,239.9088920114655
50,256.88249154896374,224.7644474098504,267.2834272752644,257.7715569736354,208.82649576414173,202.2419678024072,260.62626807830907,263.6880479803178,224.61704757285844,162.2204574474567,165.84275504765537,253.24032280954344,236.48909330679905,266.8515253324292,257.7018083770835,238.8346304547412,161.95779392206347,193.50136432378,157.5197501039572,250.9468079962756
51,259.1685667862967,221.8137009576858,269.7413668623421,264.02527062479464,207.8387775779066,215.1887436591013,250.23625195263512,256.4320883934308,222.60241012640253,175.77672769890052,183.8250699268096,240.24403505660945,240.29413417382528,272.4653003058795,248.14361116881045,247.58182017813115,162.44805711262077,201.0099651414578,172.34680653586474,257.9552730588321
52,252.32570653909352,216.0553420045652,267.5659143806994,258.64692795130645,196.0475323424286,244.6471817444153,249.8244762176101,253.70813156043675,224.4666625021448,178.6856611102927,208.9472320812337,236.50056428716417,232.7778028764112,269.3397566399774,254.59978122670728,256.51280458739814,171.3655811453212,199.82326149488188,191.17442776868688,251.93476309742223
53,255.20007084077747,208.22858578945045,254.8185162398388,250.4058693631708,214.84491180789075,253.19323132570207,265.73071585483893,263.7245175373257,230.8379096472892,189.31515288290467,221.17510496147253,255.91407371511391,239.6668198879672,267.11281109063026,261.3580774433358,254.7499320276784,186.0328261520536,191.98303267529,197.54855103114969,255.5195142669405
54,263.26744106228693,215.31503565480327,252.0459757642664,262.2232742285472,204.47305542026908,248.8976622647376,263.7498006870153,263.4240339566371,247.1658187886418,200.0917231622232,228.63674981742253,267.91287690069964,240.49449484902289,261.797895934934,233.59548100097336,250.03078492605164,169.95238481787032,195.3465779218817,201.9897499226907,257.7071556180896
55,271.98937819666344,228.33524302453253,268.09479560345875,262.02179232075696,202.1988245043982,261.7503223428384,258.38030685497654,263.5012571424985,248.59600750995304,209.8390603298444,230.673444035484,265.0752027545021,243.54640702062247,260.3946588132322,242.3724634105803,241.5265607978971,180.14529406186105,219.98274950117863,215.45948279475505,268.2405323481554
56,269.3289102502936,258.7647481035677,256.7973417688685,261.7132160342502,219.8769276443054,252.6885535353184,263.98257020867925,270.7462237481895,253.2689211875663,201.1589440703244,234.95986712169545,269.1405469343871,240.9053532722225,269.7804984432016,265.8122851418044,245.4280530308679,190.14333679630568,226.56413798410097,226.3211609238363,271.0553684020872
57,266.4437354700873,250.1381782522461,266.457366304521,264.5068439091719,220.26676706609024,249.3633488955596,268.32096969660995,267.35703996507783,255.5725311942119,206.61014389484552,230.9662951460952,269.6531550796976,244.36959022503385,270.69535291948296,255.7615779102064,254.9382307457965,174.15149618607566,226.7996574285792,226.6239303398307,258.39542188967863
58,273.53443838692385,245.92816196697547,267.4763113966648,257.3636166049546,235.10203560250287,253.3600443311016,267.22908721499743,251.6447467756232,258.59386363661235,217.99096753076955,236.50461557299425,264.11715491190347,253.58400370693184,271.1562217612285,246.6544462784328,261.5111507921919,169.22361535867574,212.4575099594798,212.168536788301,257.3475591743021
59,269.1906783089516,248.6064198816516,268.92610505155346,260.2111457364008,231.6313030320428,258.7887173581592,264.210509312317,248.9342217645977,263.42812868506473,232.1116538198383,244.6878890145324,261.28986234858485,253.7760934440581,275.2525799282102,257.8250541694558,266.9264869215101,188.3295163782475,211.0300258897329,228.17682676575075,267.31833915301803
60,263.48596548282194,244.2988302822251,275.14232736809936,253.3050025235381,205.749533183188,268.6055953631317,261.07466439010824,265.2596273119026,261.3930196324398,227.90948647962912,242.50559192537983,251.5077188613586,255.58222518809487,277.48371247788515,262.8637493358602,253.14370514774404,220.1559380018797,233.6650949606036,249.12924635806385,271.1409478475843
61,268.88316194954564,256.2311261116853,282.03661853473807,256.38691391033205,193.1512474976841,269.2952883740683,267.63143783936204,271.8060567061146,259.38728395173325,227.19704651502656,237.7363374247221,243.57243250412023,261.59443734707014,277.76245470227263,265.38958453687724,244.3335952981652,236.96848732943093,241.3471386227537,248.3121226061841,262.4975364300823
62,278.34446486206434,262.3310621666932,281.52765139389567,264.176355436678,198.7963535575343,262.44600301307946,267.1228864397289,264.4707369089272,261.3028530740955,232.0175077913105,222.8436679144339,254.2153474314337,259.98895339597965,277.36393187778305,249.60816379387225,256.7098419937602,234.0128879184554,236.0021215420328,230.11209693715617,253.0340540958455
63,271.05936346260654,258.639636108143,281.86535710174064,262.449555741612,217.80876526555247,266.4323090670849,255.03308651211344,266.1326905740658,267.4735203064325,227.96535996504736,221.3691412839412,266.89659839026973,257.28691313853386,277.7147578861721,253.9457090891493,253.73601701498995,220.0871097666765,222.1868928731953,224.48054380311584,258.0266092804779
64,271.0534340321837,257.0304424510878,274.4307006731123,265.5856910674585,241.30014977666485,272.62729558512046,261.83260147673946,262.571205221304,262.51522467979186,234.8587587777214,237.49087536947832,259.0555113216497,237.79255047830287,276.54142459916824,267.6491397801513,248.87020450401167,225.5999980929784,216.3895506175235,231.9368469909548,255.0048752893337
65,278.14587292224024,263.21167723123966,271.88490117901006,262.5267790390106,240.1803038376468,273.0050514088549,263.9962342259439,260.50138268879266,260.6128007292063,242.0441202955681,241.7218858204976,266.38702425660915,230.6350155010097,270.6534370556416,252.1760051882689,248.84555080361287,218.8973744816329,234.6205300958609,235.37877811225044,257.0908947864063
66,278.34265221251377,266.53804186390835,277.6267445711058,260.04681605414606,244.2396330244184,260.6944290888353,259.50949123060155,268.22943201447083,267.15439225055155,250.3625639515448,242.70823818686725,266.0492803374646,249.84449731710424,273.40264061071883,256.65208354654783,229.2520331042708,230.109630960516,239.2851103257117,229.126499570304,272.0641500678484
