n_policy,PPO_Ant_seed1,PPO_Ant_seed2,PPO_Ant_seed3,PPO_Ant_seed4,PPO_Humanoid_seed1,PPO_Humanoid_seed2,PPO_Humanoid_seed3,PPO_Humanoid_seed4,PPO_HumanoidStandup_seed1,PPO_Ant_seed1_100,PPO_Ant_seed1_50,PPO_Ant_seed1_500,PPO_Ant_seed1_25,PPO_Ant_seed1_250,PPO_Ant_seed2_100,PPO_Ant_seed2_50,PPO_Ant_seed2_500,PPO_Ant_seed2_25,PPO_Ant_seed2_250,PPO_Ant_seed3_100,PPO_Ant_seed3_50,PPO_Ant_seed3_500,PPO_Ant_seed3_25,PPO_Ant_seed3_250,PPO_Ant_seed4_100,PPO_Ant_seed4_50,PPO_Ant_seed4_500,PPO_Ant_seed4_25,PPO_Ant_seed4_250,PPO_Humanoid_seed1_100,PPO_Humanoid_seed1_50,PPO_Humanoid_seed1_500,PPO_Humanoid_seed1_25,PPO_Humanoid_seed1_250,PPO_Humanoid_seed2_100,PPO_Humanoid_seed2_50,PPO_Humanoid_seed2_500,PPO_Humanoid_seed2_25,PPO_Humanoid_seed2_250,PPO_Humanoid_seed3_100,PPO_Humanoid_seed3_50,PPO_Humanoid_seed3_500,PPO_Humanoid_seed3_25,PPO_Humanoid_seed3_250,PPO_Humanoid_seed4_100,PPO_Humanoid_seed4_50,PPO_Humanoid_seed4_500,PPO_Humanoid_seed4_25,PPO_Humanoid_seed4_250,PPO_HumanoidStandup_seed1_100,PPO_HumanoidStandup_seed1_50,PPO_HumanoidStandup_seed1_500,PPO_HumanoidStandup_seed1_25,PPO_HumanoidStandup_seed1_250
39,0.0164876518966225,0.0053929087005494,0.0020225586301696,0.0,0.037654502808918,0.0740368906336422,0.0993365815975297,0.1589312342116368,0.0,0.0164876518966225,0.0164876518966225,0.0164876518966225,0.0164876518966225,0.0164876518966225,0.0,0.0053929087005494,0.0053929087005494,0.0070297027585232,0.0,0.0020225586301696,0.0020225586301696,0.0016618159983996,0.0027637741094284,0.0020225586301696,0.0,0.0034948447504538,0.0,0.0034948447504538,0.0,0.037654502808918,0.0395768415103338,0.0631121482614497,0.0367157188194035,0.037654502808918,0.0740368906336422,0.0740368906336422,0.0943970020230748,0.0740368906336422,0.0943970020230748,0.0045863646996399,0.0993365815975297,0.0045863646996399,0.0351202892404314,0.0045863646996399,0.3881537534402174,0.3881537534402174,0.1589312342116368,0.1589312342116368,0.1589312342116368,0.0,0.0235474583141787,0.0,0.0235474583141787,0.0
40,0.0164876518966225,0.0053929087005494,0.0020225586301696,0.0001604084500958,0.037654502808918,0.0908744872797762,0.0500678715631563,0.1589312342116368,0.0,0.0164876518966225,0.0164876518966225,0.0164876518966225,0.0126994855535658,0.0164876518966225,0.0,0.0053929087005494,0.0053929087005494,0.0070297027585232,0.0027029615607053,0.0017795215199832,0.0017795215199832,0.0017795215199832,0.0017795215199832,0.0020225586301696,0.0,0.0036552532005496,0.0001604084500958,0.0036552532005496,0.0001604084500958,0.037654502808918,0.0395768415103338,0.0753889184370978,0.0367157188194035,0.037654502808918,0.0908744872797762,0.0908744872797762,0.1112345986692088,0.0908744872797762,0.1112345986692088,0.0045863646996399,0.0500678715631563,0.0500678715631563,0.0351202892404314,0.0045863646996399,0.3881537534402174,0.3881537534402174,0.1589312342116368,0.1589312342116368,0.1589312342116368,0.0,0.0,0.0,0.0,0.0
41,0.0164876518966225,0.0053929087005494,0.0,0.0010473990472526,0.037654502808918,0.2479572191589675,0.0500678715631563,0.1589312342116368,0.0,0.0164876518966225,0.0164876518966225,0.0164876518966225,0.0126994855535658,0.0164876518966225,0.0,0.0053929087005494,0.0033653364541996,0.0070297027585232,0.0033653364541996,0.0038921182527372,0.0038921182527372,0.0,0.0038921182527372,0.0,0.0008869905971568,0.0045422437977064,0.0010473990472526,0.0045422437977064,0.0010473990472526,0.037654502808918,0.0395768415103338,0.0629184623899589,0.0367157188194035,0.037654502808918,0.0,0.0,0.0,0.2479572191589675,0.0,0.0045863646996399,0.0500678715631563,0.0500678715631563,0.0351202892404314,0.0045863646996399,0.2676913254515548,0.3881537534402174,0.2676913254515548,0.1589312342116368,0.2676913254515548,0.0589497673646378,0.0589497673646378,0.0,0.0589497673646378,0.0
42,0.0164876518966225,0.0023267653942938,0.0,0.0,0.037654502808918,0.2479572191589675,0.0887671499591452,0.1589312342116368,0.0,0.0164876518966225,0.0164876518966225,0.0164876518966225,0.0126994855535658,0.0164876518966225,0.0023267653942938,0.0023267653942938,0.0023267653942938,0.0023267653942938,0.0023267653942938,0.0038921182527372,0.0038921182527372,0.0,0.0038921182527372,0.0,0.0,0.0085471941543272,0.0,0.0085471941543272,0.0,0.037654502808918,0.0395768415103338,0.0629184623899589,0.0367157188194035,0.037654502808918,0.0,0.0,0.0,0.2479572191589675,0.0,0.0887671499591452,0.0887671499591452,0.0887671499591452,0.0351202892404314,0.0887671499591452,0.2676913254515548,0.3881537534402174,0.2676913254515548,0.1589312342116368,0.2676913254515548,0.0,0.0,0.0,0.0760063549212826,0.0
43,0.0164876518966225,0.0,0.0,0.0,0.037654502808918,0.2479572191589675,0.0887671499591452,0.3291493903643583,0.0,0.0164876518966225,0.0164876518966225,0.0164876518966225,0.0065839585492895,0.0164876518966225,0.0026440831769243,0.0,0.0026440831769243,0.0,0.0,0.0038921182527372,0.0014099946808146,0.0014099946808146,0.0038921182527372,0.0,0.0,0.0085471941543272,0.0,0.0085471941543272,0.0,0.037654502808918,0.0395768415103338,0.0629184623899589,0.0367157188194035,0.0180320625695845,0.0,0.0,0.0,0.2479572191589675,0.0,0.0887671499591452,0.0887671499591452,0.118680419089009,0.118680419089009,0.0887671499591452,0.2676913254515548,0.3881537534402174,0.2676913254515548,0.3291493903643583,0.2676913254515548,0.0,0.0,0.0,0.0,0.0
44,0.0029472976537934,0.0014986790770253,0.0,0.0,0.037654502808918,0.2479572191589675,0.130515760987269,0.3291493903643583,0.0003111774914756,0.0029472976537934,0.0164876518966225,0.0164876518966225,0.0065839585492895,0.0164876518966225,0.0041427622539496,0.0014986790770253,0.0,0.0014986790770253,0.0014986790770253,0.0025347289748268,0.0025347289748268,0.0025347289748268,0.0038921182527372,0.0,0.0,0.0038753804897784,0.0,0.0085471941543272,0.0,0.037654502808918,0.0395768415103338,0.0138710593361448,0.0367157188194035,0.0180320625695845,0.0,0.0,0.0,0.2479572191589675,0.0,0.130515760987269,0.130515760987269,0.130515760987269,0.118680419089009,0.0887671499591452,0.2676913254515548,0.3881537534402174,0.2676913254515548,0.3291493903643583,0.2676913254515548,0.0003111774914756,0.0,0.0003111774914756,0.0,0.0003111774914756
45,0.0029472976537934,0.0041234184088764,0.0,0.0,0.0802223170729233,0.2479572191589675,0.130515760987269,0.3291493903643583,0.0,0.0029472976537934,0.0164876518966225,0.0049423570950502,0.0065839585492895,0.0164876518966225,0.0067675015858007,0.0041234184088764,0.0,0.0041234184088764,0.0041234184088764,0.0025347289748268,0.0025347289748268,0.0025347289748268,0.0038921182527372,0.0,0.0086630203632041,0.0038753804897784,0.0086630203632041,0.0086630203632041,0.0,0.0802223170729233,0.0821446557743391,0.0564388736001501,0.0792835330834088,0.0605998768335898,0.0,0.0,0.0,0.2479572191589675,0.0,0.130515760987269,0.130515760987269,0.1207663303011213,0.1207663303011213,0.0887671499591452,0.2676913254515548,0.3881537534402174,0.2676913254515548,0.3291493903643583,0.2676913254515548,0.0243428388057966,0.024031661314321,0.0,0.024031661314321,0.0
46,0.0046961116212293,0.0041234184088764,0.0,0.0088471864620854,0.0,0.2479572191589675,0.0956894905524206,0.3291493903643583,0.0019119025289968,0.0046961116212293,0.0182364658640585,0.0066911710624861,0.0083327725167254,0.0182364658640585,0.0024755610607566,0.0041234184088764,0.0,0.0041234184088764,0.0041234184088764,0.0025347289748268,0.0025347289748268,0.0025347289748268,0.0038921182527372,0.0,0.0088471864620854,0.0088471864620854,0.0088471864620854,0.0086630203632041,0.0088471864620854,0.0,0.1167834778640202,0.0910776956898312,0.1139223551730899,0.0,0.0,0.0,0.0,0.2479572191589675,0.0,0.0956894905524206,0.0956894905524206,0.1207663303011213,0.1207663303011213,0.0887671499591452,0.2676913254515548,0.3881537534402174,0.2676913254515548,0.3291493903643583,0.0674383399093825,0.0243428388057966,0.024031661314321,0.0019119025289968,0.024031661314321,0.0019119025289968
47,0.0079660856721794,0.0041234184088764,0.0,0.0052734487060147,0.0,0.2479572191589675,0.0956894905524206,0.161237794958323,0.0,0.0079660856721794,0.0079660856721794,0.0079660856721794,0.0079660856721794,0.0079660856721794,0.0024755610607566,0.0041234184088764,0.0034594263283907,0.0041234184088764,0.0034594263283907,0.0025347289748268,0.0025347289748268,0.0025347289748268,0.0038921182527372,0.0,0.0088471864620854,0.0088471864620854,0.0052734487060147,0.0052734487060147,0.0052734487060147,0.0,0.0,0.1125101625643115,0.1353548220475702,0.0,0.0,0.0,0.0,0.2479572191589675,0.0,0.0956894905524206,0.0956894905524206,0.0689175687226955,0.1207663303011213,0.0689175687226955,0.2676913254515548,0.161237794958323,0.2676913254515548,0.161237794958323,0.0674383399093825,0.0,0.0,0.0,0.037822707154184,0.0
48,0.0079660856721794,0.0026535291699094,0.0,0.0118292003925969,0.0,0.2479572191589675,0.0956894905524206,0.161237794958323,0.0,0.0079660856721794,0.0079660856721794,0.002118464077843,0.0079660856721794,0.002118464077843,0.0026535291699094,0.0026535291699094,0.0026535291699094,0.0026535291699094,0.0026535291699094,0.0025347289748268,0.0025347289748268,0.0072259603530817,0.0038921182527372,0.0,0.0118292003925969,0.0118292003925969,0.0052734487060147,0.0052734487060147,0.0118292003925969,0.0,0.0,0.0104173164554445,0.1353548220475702,0.0,0.0,0.0,0.0,0.2479572191589675,0.0,0.0956894905524206,0.0956894905524206,0.0689175687226955,0.1207663303011213,0.0689175687226955,0.1848015290225123,0.161237794958323,0.1848015290225123,0.161237794958323,0.0674383399093825,0.0171972558780427,0.0171972558780427,0.0,0.0550199630322268,0.0171972558780427
