n_policy,PPO_Ant_seed1,PPO_Ant_seed2,PPO_Ant_seed3,PPO_Ant_seed4,PPO_Humanoid_seed1,PPO_Humanoid_seed2,PPO_Humanoid_seed3,PPO_Humanoid_seed4,PPO_HumanoidStandup_seed1
151,0.0125919999999999,0.101976,-0.0,0.038664,-0.0,-0.0,0.071552,0.1371919999999999,-0.0
152,0.0524,0.0548159999999999,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0048719999999999
153,0.007824,-0.0,-0.0,0.0985599999999999,-0.0,0.036944,0.0476239999999998,0.111088,0.003832
154,0.0038800000000001,-0.0,-0.0,0.0543679999999999,0.1409359999999999,-0.0,-0.0,-0.0,-0.0
155,-0.0,0.129696,-0.0,-0.0,-0.0,0.2461359999999999,-0.0,0.0209760000000001,-0.0
156,-0.0,-0.0,-0.0,0.0332559999999999,-0.0,-0.0,0.03672,-0.0,-0.0
157,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.107256,0.2583519999999999,-0.0
158,-0.0,0.1084719999999999,0.4021759999999998,0.073296,-0.0,-0.0,-0.0,-0.0,-0.0
159,0.0068639999999999,-0.0,-0.0,0.1012239999999999,-0.0,-0.0,-0.0,0.048856,0.018008
160,0.0578240000000001,-0.0,-0.0,-0.0,0.0869519999999999,0.1689279999999999,0.1362639999999999,-0.0,-0.0
161,0.037776,-0.0,-0.0,-0.0,0.20588,0.010728,0.0838479999999999,-0.0,-0.0
162,0.0758,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1156479999999999,0.0181919999999999
163,-0.0,-0.0,-0.0,-0.0,0.021384,0.1349279999999999,0.0896399999999999,-0.0,-0.0
164,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1929199999999999,-0.0
165,-0.0,0.0623839999999999,0.005872,-0.0,-0.0,0.050008,0.0167999999999999,-0.0,0.0046239999999999
166,-0.0,-0.0,0.3623119999999999,-0.0,0.2099919999999999,0.0079039999999999,-0.0,0.0239759999999999,0.017112
167,-0.0,0.1650640000000001,-0.0,-0.0,0.086448,0.134808,-0.0,0.0947679999999999,-0.0
168,-0.0,-0.0,0.1015919999999999,-0.0,0.0903439999999999,-0.0,0.068472,-0.0,0.0190079999999999
169,-0.0,-0.0,-0.0,0.08552,-0.0,-0.0,0.0584,-0.0,-0.0
170,-0.0,-0.0,-0.0,0.078456,0.2156800000000001,-0.0,0.0467679999999999,0.0003919999999999,-0.0
171,-0.0,-0.0,0.1129199999999999,-0.0,-0.0,0.0101919999999999,0.01896,0.007192,0.0098
172,-0.0,0.07552,0.0458400000000001,0.058424,-0.0,0.0462,0.004984,-0.0,-0.0
173,-0.0,0.093968,-0.0,-0.0,0.2017999999999999,0.1326400000000001,0.0170799999999999,0.0645679999999999,-0.0
174,-0.0,0.0714159999999999,-0.0,0.0683119999999999,-0.0,-0.0,-0.0,0.0574559999999999,0.00712
175,-0.0,-0.0,0.010464,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
176,0.054432,0.1419839999999999,0.1457679999999999,0.0268079999999999,0.002256,0.09796,-0.0,0.034672,0.0365599999999999
177,-0.0,0.0940559999999999,-0.0,0.022904,0.13328,-0.0,0.33724,-0.0,-0.0
178,-0.0,-0.0,-0.0,0.01516,0.03156,0.1404239999999998,-0.0,0.0150479999999999,-0.0
179,-0.0,-0.0,-0.0,-0.0,-0.0,0.153024,-0.0,-0.0,-0.0
180,0.0850159999999999,0.1054399999999999,-0.0,-0.0,0.0663599999999999,-0.0,0.4832160000000001,2.4000000000024e-05,-0.0
181,0.0880879999999999,-0.0,-0.0,0.0725039999999999,-0.0,-0.0,-0.0,0.1795839999999999,-0.0
182,0.0316559999999999,-0.0,-0.0,-0.0,0.0206319999999999,-0.0,-0.0,-0.0,-0.0
183,-0.0,-0.0,0.0126479999999999,0.04516,-0.0,-0.0,0.1037840000000001,-0.0,-0.0
184,-0.0,-0.0,-0.0,-0.0,0.086896,0.002056,-0.0,0.121032,-0.0
185,0.07244,-0.0,-0.0,0.01092,-0.0,-0.0,0.0616719999999999,-0.0,-0.0
186,0.093288,-0.0,0.023368,0.027088,0.0188079999999999,-0.0,-0.0,-0.0,0.0047999999999999
187,0.0292479999999999,-0.0,-0.0,0.0194399999999999,-0.0,0.069304,-0.0,-0.0,-0.0
188,-0.0,-0.0,0.021368,0.0705759999999999,0.029104,0.0193119999999999,-0.0,-0.0,-0.0
189,0.0632399999999999,-0.0,-0.0,0.165232,0.083504,0.03584,0.075768,0.12426,-0.0
190,-0.0,0.1057920000000001,0.045512,-0.0,-0.0,0.0039519999999999,-0.0,-0.0,-0.0
191,-0.0,-0.0,0.0585279999999999,-0.0,0.079704,-0.0,-0.0,-0.0,-0.0
192,-0.0,-0.0,-0.0,-0.0,0.0509999999999999,0.054432,0.0137439999999999,0.1582639999999999,-0.0
193,0.018656,-0.0,-0.0,-0.0,-0.0,0.157864,-0.0,0.0320879999999998,0.0450159999999999
194,-0.0,-0.0,0.0092239999999998,-0.0,0.0756000000000001,-0.0,-0.0,0.0103999999999999,-0.0
195,0.0809919999999999,-0.0,-0.0,0.0010799999999999,-0.0,-0.0,0.0156480000000001,-0.0,0.015792
196,-0.0,-0.0,0.0967119999999999,0.1271679999999999,0.023152,-0.0,0.02644,0.014744,0.0036959999999999
197,-0.0,0.039544,-0.0,0.224496,-0.0,0.0687519999999999,0.0243199999999998,0.1639520000000001,-0.0
198,0.0574239999999999,-0.0,0.0066399999999999,-0.0,-0.0,0.048704,0.010216,-0.0,-0.0
199,0.0360959999999999,-0.0,-0.0,-0.0,0.1697759999999999,-0.0,0.3214000000000001,0.1415999999999999,0.0803199999999999
200,-0.0,-0.0,-0.0,-0.0,-0.0,0.001616,-0.0,-0.0,-0.0
201,-0.0,-0.0,0.0265759999999999,0.0021119999999998,0.058872,-0.0,0.300624,0.1155520000000001,-0.0
202,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0728159999999999,-0.0,0.0605439999999999
203,0.00404,0.203192,-0.0,-0.0,0.072608,-0.0,-0.0,0.1104,-0.0
204,0.04712,0.2769680000000001,-0.0,-0.0,0.0796719999999999,0.04044,-0.0,-0.0,0.027784
205,-0.0,0.2090959999999999,-0.0,0.0314959999999999,-0.0,-0.0,0.024024,0.023552,0.0185759999999999
206,-0.0,0.0285200000000001,-0.0,-0.0,0.093552,-0.0,-0.0,0.1584000000000001,-0.0
207,-0.0,-0.0,-0.0,0.138792,0.157272,-0.0,0.030208,-0.0,-0.0
208,-0.0,-0.0,-0.0,-0.0,0.002064,-0.0,0.0130719999999999,0.065344,0.0683679999999999
209,-0.0,0.0743599999999999,-0.0,-0.0,-0.0,0.068616,0.0178640000000001,0.0041679999999999,-0.0
210,0.0114320000000001,-0.0,-0.0,-0.0,-0.0,-0.0,0.0061839999999999,0.05152,-0.0
211,0.090632,0.0052239999999998,0.1222160000000001,-0.0,0.0529440000000001,0.03264,-0.0,-0.0,0.006496
