process_id,degradation_level,rank_last,rank_best_train,rank_best_test,not_first_prob
PPO_Ant_seed1,0.0163510344827586,1,2,3,0.5
PPO_Ant_seed1,0.016073898305084728,1,2,3,0.5
PPO_Ant_seed1,0.01580599999999998,1,2,3,0.5614432029179147
PPO_Ant_seed1,0.0163126557377049,1,2,3,0.5
PPO_Ant_seed1,0.016049548387096754,1,2,3,0.5349037834695274
PPO_Ant_seed1,0.01593777777777776,1,2,3,0.4849989318070353
PPO_Ant_seed1,0.01568874999999998,1,2,3,0.5
PPO_Ant_seed1,0.015447384615384595,2,3,1,0.0
PPO_Ant_seed1,0.016944606060606042,2,3,1,0.0
PPO_Ant_seed1,0.016691701492537292,2,3,1,0.0
PPO_Ant_seed1,0.016446235294117626,2,3,1,0.0
PPO_Ant_seed1,0.016207884057970995,1,2,3,0.5
PPO_Ant_seed1,0.015976342857142837,1,2,3,0.0
PPO_Ant_seed1,0.015751323943661952,2,3,1,0.0
PPO_Ant_seed1,0.01596166666666665,2,3,1,0.0
PPO_Ant_seed1,0.01574301369863012,1,2,3,0.5
PPO_Ant_seed1,0.015530270270270253,2,1,3,0.0
PPO_Ant_seed1,0.015323199999999983,1,2,3,0.5
PPO_Ant_seed1,0.015121578947368404,1,2,3,0.5
PPO_Ant_seed1,0.014925194805194789,1,2,3,0.5
PPO_Ant_seed1,0.014733846153846137,1,2,3,0.7087891074332899
PPO_Ant_seed1,0.01514774683544302,2,3,1,0.8512062562296514
PPO_Ant_seed1,0.014958399999999983,1,2,3,0.0
PPO_Ant_seed1,0.01477372839506171,1,2,3,0.0
PPO_Ant_seed1,0.014593560975609739,1,2,3,0.0
PPO_Ant_seed1,0.014961831325301189,1,2,3,0.6056073645269894
PPO_Ant_seed1,0.01478371428571427,1,2,3,0.7020760337973452
PPO_Ant_seed1,0.014688941176470575,1,2,3,0.6159730891422173
PPO_Ant_seed1,0.014518139534883706,1,2,3,0.0
PPO_Ant_seed1,0.014351264367816079,2,3,1,0.0
PPO_Ant_seed1,0.014188181818181801,1,2,3,0.5
PPO_Ant_seed1,0.014028764044943805,1,2,3,0.9830125955577469
PPO_Ant_seed1,0.013873955555555541,1,2,3,0.0
PPO_Ant_seed1,0.01372149450549449,1,2,3,0.0
PPO_Ant_seed1,0.014199652173913028,1,2,3,0.9128342375393169
PPO_Ant_seed1,0.015420043010752674,1,2,3,0.0
PPO_Ant_seed1,0.015255999999999987,1,2,3,0.03214761101574751
PPO_Ant_seed1,0.015095410526315776,1,2,3,0.7653415110686705
PPO_Ant_seed1,0.015753749999999983,1,2,3,0.7622487319113624
PPO_Ant_seed1,0.01559134020618555,1,2,3,0.4773728780566883
PPO_Ant_seed1,0.015432244897959167,2,3,1,0.7149865789310235
PPO_Ant_seed1,0.01527636363636362,1,2,3,0.08874531541659968
PPO_Ant_seed1,0.015239839999999984,1,2,3,0.5
PPO_Ant_seed1,0.01508895049504949,2,3,1,0.0
PPO_Ant_seed1,0.015454666666666651,2,3,1,0.0
PPO_Ant_seed1,0.015547029126213578,2,3,1,0.1426946626688586
PPO_Ant_seed1,0.015397538461538445,1,3,2,0.0
PPO_Ant_seed1,0.015250895238095223,1,2,3,0.5
PPO_Ant_seed1,0.015107018867924513,1,2,3,0.5
PPO_Ant_seed1,0.014965831775700919,2,1,3,0.0
PPO_Ant_seed1,0.015538592592592578,2,1,3,0.0
PPO_Ant_seed1,0.01539603669724769,1,2,3,0.0
PPO_Ant_seed1,0.015256072727272712,3,1,2,0.11963951088914376
PPO_Ant_seed1,0.015157909909909895,3,1,2,0.10910515862883347
PPO_Ant_seed1,0.01633071428571427,2,1,3,0.04536880446620746
PPO_Ant_seed1,0.01618619469026547,1,2,3,0.6060918374143208
PPO_Ant_seed1,0.016044210526315775,1,2,3,0.7248937045278783
PPO_Ant_seed1,0.015904695652173898,1,2,3,0.5
PPO_Ant_seed1,0.015767586206896535,3,1,2,0.5
PPO_Ant_seed1,0.0158282393162393,2,1,3,0.0
PPO_Ant_seed1,0.01569410169491524,2,1,3,0.0
PPO_Ant_seed1,0.015562218487394943,2,1,3,0.0
PPO_Ant_seed1,0.01613086666666665,2,3,1,0.9687241209544349
PPO_Ant_seed1,0.01599755371900825,3,2,1,0.8306805424216948
PPO_Ant_seed1,0.015866426229508183,1,3,2,0.9038590730769702
PPO_Ant_seed1,0.015839804878048765,3,2,1,0.8008184725005152
PPO_Ant_seed1,0.016134645161290304,3,2,1,0.7744878420268744
PPO_Ant_seed1,0.01606815999999998,3,2,1,0.7529177901605116
PPO_Ant_seed1,0.015971428571428553,3,2,1,0.789286032179151
PPO_Ant_seed1,0.015845669291338564,3,2,1,0.8802983131688762
PPO_Ant_seed1,0.015721874999999986,1,3,2,0.8886928591682457
PPO_Ant_seed1,0.015599999999999985,1,3,2,0.26134187971408196
PPO_Ant_seed1,0.015479999999999987,1,3,2,0.48927729629993333
PPO_Ant_seed1,0.015414229007633572,1,2,3,0.5138672495241572
PPO_Ant_seed1,0.015735515151515136,2,1,3,0.06457217294442821
PPO_Ant_seed1,0.015901233082706752,2,1,3,0.07382507101144711
PPO_Ant_seed1,0.016348238805970135,2,1,3,0.03699004523699405
PPO_Ant_seed1,0.016227140740740727,1,2,3,0.5577787255074499
PPO_Ant_seed1,0.01610782352941175,1,2,3,0.0
PPO_Ant_seed1,0.015990248175182468,1,2,3,0.3831790420863266
PPO_Ant_seed1,0.01587437681159419,1,2,3,0.5
PPO_Ant_seed1,0.015760172661870492,2,1,3,0.0
PPO_Ant_seed1,0.015647599999999987,2,1,3,0.0
PPO_Ant_seed1,0.015536624113475164,1,2,3,0.6735805402270306
PPO_Ant_seed1,0.015427211267605621,1,2,3,0.5
PPO_Ant_seed1,0.015319328671328658,2,1,3,0.0
PPO_Ant_seed1,0.015212944444444432,1,2,3,0.7224886350149612
PPO_Ant_seed1,0.015108027586206885,1,2,3,0.5410075106298666
PPO_Ant_seed1,0.015004547945205468,1,2,3,0.5
