process_id,degradation_level,rank_100,rank_50,rank_500,rank_25,rank_250,not_first_prob
PPO_Ant_seed1,0.01610782352941175,2,3,1,5,4,0.0
PPO_Ant_seed1,0.015990248175182468,4,1,2,3,5,0.7926643073143982
PPO_Ant_seed1,0.01587437681159419,1,3,2,4,5,0.25
PPO_Ant_seed1,0.015760172661870492,1,4,2,5,3,0.0
PPO_Ant_seed1,0.015647599999999987,1,4,3,5,2,0.0
PPO_Ant_seed1,0.015536624113475164,1,4,3,5,2,0.5610733974900586
PPO_Ant_seed1,0.015427211267605621,1,4,2,5,3,0.25
PPO_Ant_seed1,0.015319328671328658,1,4,2,5,3,0.0
PPO_Ant_seed1,0.015212944444444432,1,2,3,4,5,1.0
PPO_Ant_seed1,0.015108027586206885,1,5,2,3,4,0.7960782082499507
PPO_Ant_seed1,0.015004547945205468,1,5,2,4,3,0.5
PPO_Ant_seed1,0.014902476190476178,1,5,2,4,3,0.0
PPO_Ant_seed1,0.015169567567567557,1,5,3,2,4,0.0
PPO_Ant_seed1,0.015067758389261734,3,5,1,4,2,0.25
PPO_Ant_seed1,0.014967306666666656,1,5,2,4,3,0.08229613651125779
PPO_Ant_seed1,0.014868185430463565,1,5,4,3,2,0.0677316951109096
PPO_Ant_seed1,0.015329684210526303,1,4,5,3,2,0.061314895511205614
PPO_Ant_seed1,0.01580522875816992,1,4,5,3,2,0.061314895511205614
PPO_Ant_seed1,0.01590815584415583,1,4,5,3,2,0.061314895511205614
PPO_Ant_seed1,0.015805522580645145,1,4,5,3,2,0.061314895511205614
PPO_Ant_seed1,0.015704205128205116,1,4,5,3,2,0.061314895511205614
PPO_Ant_seed1,0.016065579617834384,1,4,5,3,2,0.061314895511205614
PPO_Ant_seed1,0.01655432911392404,1,4,5,3,2,0.061314895511205614
PPO_Ant_seed1,0.01663416352201257,1,4,5,3,2,0.061314895511205614
PPO_Ant_seed1,0.016530199999999988,1,4,5,3,2,0.061314895511205614
PPO_Ant_seed1,0.016820322981366445,1,4,5,3,2,0.061314895511205614
PPO_Ant_seed1,0.01671649382716048,3,4,5,2,1,0.5427958647073057
PPO_Ant_seed1,0.016613938650306734,1,2,5,4,3,0.6965529407767055
PPO_Ant_seed1,0.01651263414634145,1,3,5,4,2,0.25
PPO_Ant_seed1,0.01652562424242423,1,2,5,4,3,0.0
PPO_Ant_seed1,0.016426072289156612,3,4,1,5,2,0.25
PPO_Ant_seed1,0.01681269461077843,3,4,1,5,2,0.0
PPO_Ant_seed1,0.01671261904761903,1,2,3,4,5,1.0
PPO_Ant_seed1,0.016613727810650875,2,3,4,1,5,0.0
PPO_Ant_seed1,0.0168537882352941,2,3,4,1,5,0.0
PPO_Ant_seed1,0.01696631578947367,2,3,4,1,5,0.0
PPO_Ant_seed1,0.016867674418604636,2,3,5,1,4,0.0
PPO_Ant_seed1,0.01677017341040461,4,5,1,3,2,0.25
PPO_Ant_seed1,0.01667379310344826,5,1,2,4,3,0.5
PPO_Ant_seed1,0.016601599999999987,5,1,3,4,2,0.25
PPO_Ant_seed1,0.016774999999999984,2,1,3,5,4,0.0
PPO_Ant_seed1,0.01668022598870055,2,1,3,5,4,0.0
PPO_Ant_seed1,0.01658651685393257,2,1,3,5,4,0.0
PPO_Ant_seed1,0.016493854748603338,2,1,3,5,4,0.0
PPO_Ant_seed1,0.016402222222222207,2,1,3,5,4,0.0
PPO_Ant_seed1,0.016311602209944737,2,1,3,5,4,0.0
PPO_Ant_seed1,0.016284791208791196,2,1,3,5,4,0.0
PPO_Ant_seed1,0.016691060109289606,1,2,3,5,4,0.08163400183948209
PPO_Ant_seed1,0.01660765217391303,3,1,4,5,2,0.41012154721370975
PPO_Ant_seed1,0.016517881081081067,3,1,4,5,2,0.41012154721370975
PPO_Ant_seed1,0.016429075268817192,3,1,4,5,2,0.41012154721370975
PPO_Ant_seed1,0.016755465240641698,3,1,4,5,2,0.41012154721370975
PPO_Ant_seed1,0.016996680851063817,3,1,4,5,2,0.41012154721370975
PPO_Ant_seed1,0.01690675132275131,3,1,4,5,2,0.37890422126591683
PPO_Ant_seed1,0.0172741894736842,3,1,4,5,2,0.37890422126591683
PPO_Ant_seed1,0.017183748691099465,3,1,4,5,2,0.37890422126591683
PPO_Ant_seed1,0.017503374999999984,3,1,4,5,2,0.37890422126591683
PPO_Ant_seed1,0.017621927461139882,3,1,4,5,2,0.37672153994208224
PPO_Ant_seed1,0.01753109278350514,3,1,4,5,2,0.37672153994208224
PPO_Ant_seed1,0.01744118974358973,3,1,4,5,2,0.37672153994208224
PPO_Ant_seed1,0.017352204081632638,3,1,4,5,2,0.37672153994208224
PPO_Ant_seed1,0.017799431472081205,3,1,4,5,2,0.37672153994208224
PPO_Ant_seed1,0.018345171717171704,3,1,4,5,2,0.37672153994208224
PPO_Ant_seed1,0.018412743718592948,3,1,4,5,2,0.37672153994208224
PPO_Ant_seed1,0.01832067999999998,3,1,4,5,2,0.37672153994208224
PPO_Ant_seed1,0.01822953233830844,3,1,4,5,2,0.6188276283067818
PPO_Ant_seed1,0.018139287128712853,3,1,4,5,2,0.6188276283067818
PPO_Ant_seed1,0.01804993103448274,3,1,4,5,2,0.6334853855363874
PPO_Ant_seed1,0.018257333333333316,3,1,4,5,2,0.6334853855363874
PPO_Ant_seed1,0.018168273170731688,3,1,4,5,2,0.6334853855363874
PPO_Ant_seed1,0.01828897087378639,1,2,4,5,3,0.2587344568902722
PPO_Ant_seed1,0.018200618357487902,1,2,4,5,3,0.0
